date, pm25, pm10, o3, no2, so2, co
2025/11/1, 14, 11, 26, 7, 1, 10
2025/11/2, 33, 8, 29, 4, , 11
2025/11/3, 26, 7, 27, 6, 1, 
2025/11/4, 24, 17, 20, 15, 1, 
2025/11/5, 53, 10, 24, 10, 1, 
2025/11/6, 34, 10, 33, 4, , 
2025/11/7, 33, 12, 33, 3, , 
2025/11/8, 42, 15, 19, 5, , 
2025/11/9, 48, 9, 29, 5, , 
2025/11/10, 30, 5, 26, 3, , 
2025/11/11, 14, 6, 19, 5, , 
2025/11/12, 19, , , , , 
2025/10/1, 33, 11, 38, 7, , 
2025/10/2, 36, 14, 36, 5, 1, 
2025/10/3, 43, 15, 31, 4, 1, 
2025/10/4, 44, 12, 43, 2, 1, 
2025/10/5, 35, 14, 32, 3, , 
2025/10/6, 37, 12, 28, 2, , 
2025/10/7, 35, 18, 44, 5, 1, 
2025/10/8, 48, 13, 29, 4, 1, 
2025/10/9, 37, 14, 37, 4, 1, 
2025/10/10, 41, 10, 16, 4, 1, 
2025/10/11, 27, 8, 29, 2, , 
2025/10/12, 21, 13, 21, 4, 1, 
2025/10/13, 35, 13, 23, 4, , 
2025/10/14, 36, 10, 23, 3, , 
2025/10/15, 26, 15, 17, 6, , 
2025/10/16, 39, 10, 33, 4, , 
2025/10/17, 25, 14, 35, 7, 1, 
2025/10/18, 35, 11, 28, 2, , 
2025/10/19, 29, 11, 22, 3, 1, 
2025/10/20, 27, 7, 23, 4, 1, 
2025/10/21, 23, 10, 19, 8, 1, 
2025/10/22, 33, 9, 30, 4, , 
2025/10/23, 28, 9, 31, 4, 1, 
2025/10/24, 31, 9, 24, 4, , 
2025/10/25, 30, 6, 18, 3, , 
2025/10/26, 17, 7, 30, 6, 1, 
2025/10/27, 21, 6, 30, 4, , 6
2025/10/28, 20, 11, 31, 5, 1, 9
2025/10/29, 34, 18, 34, 7, 1, 10
2025/10/30, 58, 19, 19, 10, 1, 10
2025/10/31, 59, 4, 31, 5, , 8
2025/7/1, 41, 29, 62, 7, 1, 
2025/7/2, 41, 32, 52, 8, , 
2025/7/3, 47, 22, 54, 4, 1, 
2025/7/4, 37, 28, 46, 4, 1, 
2025/7/5, 40, 52, 44, 2, 1, 
2025/7/6, 68, 91, 55, 4, 1, 
2025/7/7, 108, 67, 51, 5, 1, 
2025/7/8, 90, 62, 35, 4, 2, 
2025/7/9, 86, 28, 34, 3, 1, 
2025/7/10, 38, 10, 14, 3, , 
2025/7/11, 18, 15, 23, 2, 1, 
2025/7/12, 34, 15, 38, 1, 1, 
2025/7/13, 29, 10, 19, 2, , 
2025/7/14, 13, 27, 11, 3, , 
2025/7/15, 16, 29, 22, 3, , 
2025/7/16, 29, 21, 15, 1, , 
2025/7/17, 24, 20, 18, 3, 1, 
2025/7/18, 22, 14, 22, 4, 1, 
2025/7/19, 19, 17, 35, 4, 1, 
2025/7/20, 21, 24, 50, 5, 1, 
2025/7/21, 24, 23, 51, 6, 1, 
2025/7/22, 25, 22, 71, 8, 1, 
2025/7/23, 27, 24, 78, 8, 1, 
2025/7/24, 31, 23, 64, 10, 1, 
2025/7/25, 25, 21, 68, 7, 1, 
2025/7/26, 28, 20, 42, 3, 1, 
2025/7/27, 28, 20, 52, 7, 1, 
2025/7/28, 30, 15, 44, 4, 1, 
2025/7/29, 22, 12, 24, 2, , 
2025/7/30, 20, 14, 24, 2, , 
2025/7/31, 28, 11, 15, 2, , 
2025/8/1, 17, 19, 40, 4, 1, 
2025/8/2, 23, 33, 33, 2, 1, 
2025/8/3, 35, 49, 51, 4, 1, 
2025/8/4, 61, 65, 78, 10, 1, 
2025/8/5, 78, 57, 54, 7, 1, 
2025/8/6, 56, 21, 50, 6, 1, 
2025/8/7, 24, 14, 52, 4, 1, 
2025/8/8, 25, 16, 41, 4, 1, 
2025/8/9, 29, 21, 14, 2, , 
2025/8/10, 23, 21, 10, 1, , 
2025/8/11, 18, 24, 15, 2, , 
2025/8/12, 20, 19, 32, 1, 1, 
2025/8/13, 21, 11, 42, 1, 1, 
2025/8/14, 20, 16, 52, 5, 1, 
2025/8/15, 26, 26, 34, 6, 1, 
2025/8/16, 31, 28, 41, 6, 1, 
2025/8/17, 33, 30, 43, 5, 1, 
2025/8/18, 40, 27, 72, 7, 1, 
2025/8/19, 40, 28, 65, 9, 1, 
2025/8/20, 37, 26, 40, 5, 1, 
2025/8/21, 44, 31, 60, 4, 1, 
2025/8/22, 45, 43, 70, 4, , 
2025/8/23, 49, 37, 48, 3, , 
2025/8/24, 49, 37, 35, 2, , 
2025/8/25, 53, 49, 51, 5, 1, 
2025/8/26, 59, 27, 43, 6, 1, 
2025/8/27, 42, 16, 40, 3, 1, 
2025/8/28, 27, 26, 81, 6, 1, 
2025/8/29, 38, 43, 71, 4, , 
2025/8/30, 61, 41, 55, 4, 1, 
2025/8/31, 61, 33, 56, 6, 1, 
2025/9/1, 43, 16, 40, 6, 1, 
2025/9/2, 20, 19, 51, 5, 1, 
2025/9/3, 32, 22, 32, 6, , 
2025/9/4, 30, 13, 13, 6, , 
2025/9/5, 20, 11, 44, 5, 1, 
2025/9/6, 21, 18, 40, 4, , 
2025/9/7, 27, 33, 55, 6, , 
2025/9/8, 45, 41, 65, 5, , 
2025/9/9, 54, 42, 32, 3, , 
2025/9/10, 48, 23, 28, 5, , 
2025/9/11, 25, 14, 25, 3, , 
2025/9/12, 18, 15, 19, 3, , 
2025/9/13, 18, 15, 23, 3, , 
2025/9/14, 20, 17, 37, 2, 1, 
2025/9/15, 23, 35, 60, 5, 1, 
2025/9/16, 40, 37, 59, 6, 1, 
2025/9/17, 48, 22, 38, 4, 1, 
2025/9/18, 33, 10, 30, 2, , 
2025/9/19, 19, 13, 28, 2, , 
2025/9/20, 24, 9, 30, 1, , 
2025/9/21, 17, 9, 30, 3, , 
2025/9/22, 17, 10, 34, 3, 1, 
