date, pm25, pm10, o3, no2, so2
2025/11/1, 34, 8, 27, 1, 1
2025/11/2, 39, 7, 32, 2, 1
2025/11/3, 26, 6, 28, 2, 1
2025/11/4, 16, 8, 20, 6, 
2025/11/5, 31, 9, 33, 4, 
2025/11/6, 43, 9, 39, 1, 
2025/11/7, 36, 14, 39, 1, 1
2025/11/8, 53, 11, 30, 2, 
2025/11/9, 45, 12, 35, 2, 
2025/11/10, 42, 9, 31, 1, 1
2025/11/11, 28, 8, 29, 2, 
2025/11/12, 26, 10, 16, 6, 
2025/11/13, 46, 16, 44, 3, 
2025/11/14, 56, 15, 38, 2, 1
2025/11/15, 56, 9, 39, 2, 
2025/11/16, 36, , , , 
2025/10/1, 51, 10, 39, 3, 1
2025/10/2, 41, 9, 24, 1, 1
2025/10/3, 49, 9, 37, 1, 1
2025/10/4, 32, 8, 31, 1, 
2025/10/5, 29, 9, 38, 1, 1
2025/10/6, 42, 13, 36, 1, 1
2025/10/7, 43, 9, 42, 1, 1
2025/10/8, 42, 7, 38, 2, 1
2025/10/9, 35, 8, 39, 2, 1
2025/10/10, 39, 8, 27, 2, 1
2025/10/11, 42, 9, 20, 4, 1
2025/10/12, 39, 7, 32, 1, 1
2025/10/13, 39, 8, 38, 1, 1
2025/10/14, 38, 9, 37, 1, 
2025/10/15, 41, 12, 30, 1, 1
2025/10/16, 44, 11, 41, 2, 1
2025/10/17, 44, 11, 33, 1, 1
2025/10/18, 42, 6, 30, 1, 1
2025/10/19, 34, 6, 29, 2, 1
2025/10/20, 37, 5, 30, 1, 1
2025/10/21, 23, 5, 28, 1, 1
2025/10/22, 18, 4, 37, 2, 1
2025/10/23, 19, 6, 38, 3, 
2025/10/24, 31, 7, 28, 3, 1
2025/10/25, 39, 5, 28, 2, 
2025/10/26, 28, 10, 40, 2, 1
2025/10/27, 43, 9, 36, 1, 1
2025/10/28, 27, 6, 35, 2, 1
2025/10/29, 29, 10, 39, 2, 1
2025/10/30, 44, 7, 34, 2, 1
2025/10/31, 34, 8, 37, 2, 1
2025/7/1, 82, 45, 54, 2, 3
2025/7/2, 104, 41, 39, 2, 1
2025/7/3, 98, 45, 36, 2, 2
2025/7/4, 110, 68, 42, 1, 2
2025/7/5, 154, 38, 41, 2, 1
2025/7/6, 104, 24, 54, 3, 1
2025/7/7, 77, 41, 36, 1, 1
2025/7/8, 102, 50, 17, 1, 2
2025/7/9, 117, 23, 28, 1, 1
2025/7/10, 69, 11, 25, 1, 1
2025/7/11, 31, 10, 26, 1, 1
2025/7/12, 34, 9, 26, 2, 2
2025/7/13, 30, 12, 18, 1, 1
2025/7/14, 23, 18, 34, 1, 1
2025/7/15, 45, 27, 42, 2, 1
2025/7/16, 58, 12, 12, 1, 1
2025/7/17, 16, 17, 12, 1, 1
2025/7/18, 27, 11, 13, 1, 1
2025/7/19, 24, 9, 11, 1, 1
2025/7/20, 18, 9, 12, 1, 1
2025/7/21, 23, 8, 20, 1, 1
2025/7/22, 30, 8, 18, 2, 2
2025/7/23, 21, 8, 17, 1, 1
2025/7/24, 22, 7, 14, 1, 1
2025/7/25, 21, 12, 11, 1, 1
2025/7/26, 22, 9, 11, 1, 
2025/7/27, 18, 5, 15, 2, 
2025/7/28, 19, 9, 31, 1, 1
2025/7/29, 33, 9, 33, 1, 1
2025/7/30, 41, 14, 35, 2, 1
2025/7/31, 46, 25, 53, 3, 1
2025/8/1, 71, 21, 35, 2, 1
2025/8/2, 67, 22, 41, 1, 1
2025/8/3, 64, 34, 21, 1, 2
2025/8/4, 84, 22, 20, 1, 1
2025/8/5, 56, 33, 22, 1, 1
2025/8/6, 77, 20, 30, 1, 
2025/8/7, 58, 17, 38, 1, 1
2025/8/8, 56, 18, 31, 1, 1
2025/8/9, 57, 21, 24, 1, 1
2025/8/10, 45, 12, 12, 1, 
2025/8/11, 33, 13, 10, 2, 
2025/8/12, 31, 20, 20, 1, 1
2025/8/13, 45, 26, 44, 1, 2
2025/8/14, 62, 28, 40, 1, 1
2025/8/15, 71, 28, 29, 1, 1
2025/8/16, 66, 19, 26, 1, 1
2025/8/17, 60, 16, 35, 1, 1
2025/8/18, 48, 11, 28, 1, 1
2025/8/19, 46, 17, 35, 1, 2
2025/8/20, 57, 10, 21, 1, 2
2025/8/21, 40, 10, 19, 1, 1
2025/8/22, 31, 23, 36, 1, 1
2025/8/23, 58, 28, 35, 1, 1
2025/8/24, 69, 32, 29, 1, 2
2025/8/25, 78, 32, 19, 1, 3
2025/8/26, 77, 40, 24, 1, 5
2025/8/27, 95, 29, 37, 1, 1
2025/8/28, 71, 28, 30, 1, 1
2025/8/29, 73, 32, 38, 1, 1
2025/8/30, 78, 28, 38, 1, 1
2025/8/31, 70, 11, 15, 1, 1
2025/9/1, 30, 5, 17, 1, 1
2025/9/2, 21, 10, 25, 2, 1
2025/9/3, 33, 10, 10, 2, 
2025/9/4, 22, 11, 19, 1, 1
2025/9/5, 27, 11, 41, 1, 
2025/9/6, 34, 19, 34, 2, 1
2025/9/7, 53, 20, 38, 1, 1
2025/9/8, 60, 24, 32, 1, 1
2025/9/9, 67, 17, 15, 1, 3
2025/9/10, 46, 7, 17, 1, 
2025/9/11, 20, 9, 23, 1, 1
2025/9/12, 27, 8, 16, 1, 
2025/9/13, 22, 24, 21, 1, 
2025/9/14, 63, 21, 36, 1, 
2025/9/15, 59, 22, 33, 1, 1
2025/9/16, 64, 21, 26, 1, 1
2025/9/17, 58, 11, 34, 1, 1
2025/9/18, 30, 8, 40, 1, 1
2025/9/19, 31, 15, 31, 1, 2
2025/9/20, 44, 10, 35, 1, 2
2025/9/21, 39, 7, 41, 1, 1
2025/9/22, 32, 8, 27, 1, 1
2025/9/23, 36, 10, 33, 1, 1
2025/9/24, 30, 9, 31, 1, 1
2025/9/25, 27, 11, 32, 2, 1
2025/9/26, 42, 6, 42, 1, 1
2025/9/27, 34, 10, 38, 1, 1
2025/9/28, 44, 10, 31, 2, 1
2025/9/29, 39, 7, 43, 1, 1
2025/9/30, 38, 10, 50, 1, 1
2025/4/1, 31, 7, 35, 4, 1
2025/4/2, 24, 8, 39, 2, 1
2025/4/3, 24, 7, 43, 3, 1
2025/4/4, 31, 8, 48, 2, 1
2025/4/5, 41, 12, 48, 1, 1
2025/4/6, 54, 13, 50, 2, 1
2025/4/7, 59, 11, 46, 4, 2
2025/4/8, 45, 22, 40, 4, 1
2025/4/9, 74, 23, 43, 3, 1
2025/4/10, 75, 17, 47, 5, 1
2025/4/11, 58, 15, 61, 2, 1
2025/4/12, 61, 14, 57, 1, 1
2025/4/13, 36, 14, 48, 3, 1
2025/4/14, 49, 5, 43, 1, 1
2025/4/15, 23, 6, 46, 1, 1
2025/4/16, 30, 14, 61, 1, 1
2025/4/17, 59, 21, 46, 5, 1
2025/4/18, 74, 20, 44, 3, 1
2025/4/19, 68, 11, 39, 2, 
2025/4/20, 50, 9, 55, 3, 1
2025/4/21, 37, 12, 50, 1, 1
2025/4/22, 46, 14, 30, 6, 
2025/4/23, 42, 6, 46, 3, 1
2025/4/24, 24, 21, 61, 3, 1
2025/4/25, 70, 25, 63, 3, 1
2025/4/26, 90, 13, 73, 1, 1
2025/4/27, 56, 19, 48, 4, 1
2025/4/28, 68, 12, 50, 1, 1
2025/4/29, 53, 17, 63, 2, 1
2025/4/30, 70, 14, 63, 1, 1
2025/5/1, 64, 10, 59, 1, 1
2025/5/2, 39, 10, 59, 2, 1
2025/5/3, 47, 9, 49, 1, 1
2025/5/4, 45, 7, 56, 1, 1
2025/5/5, 29, 7, 42, 1, 1
2025/5/6, 26, 6, 46, 1, 1
2025/5/7, 23, 7, 49, 2, 1
2025/5/8, 31, 12, 46, 1, 1
2025/5/9, 48, 8, 46, 1, 
2025/5/10, 38, 8, 53, 2, 
2025/5/11, 39, 13, 49, 1, 
2025/5/12, 57, 18, 75, 3, 1
2025/5/13, 71, 17, 64, 2, 1
2025/5/14, 69, 16, 54, 1, 1
2025/5/15, 64, 11, 37, 2, 1
2025/5/16, 54, 13, 28, 1, 1
2025/5/17, 37, 23, 32, 3, 1
2025/5/18, 67, 23, 52, 3, 1
2025/5/19, 70, 27, 43, 1, 3
2025/5/20, 76, 20, 23, 5, 1
2025/5/21, 46, 8, 41, 2, 1
2025/5/22, 32, 12, 53, 1, 1
2025/5/23, 52, 17, 42, 2, 1
2025/5/24, 49, 3, 35, 1, 1
2025/5/25, 30, 7, 37, 2, 1
2025/5/26, 31, 10, 45, 2, 1
2025/5/27, 41, 9, 58, 2, 1
2025/5/28, 47, 9, 38, 2, 1
2025/5/29, 48, 10, 42, 2, 1
2025/5/30, 42, 10, 51, 1, 1
2025/5/31, 49, 14, 48, 2, 1
2025/6/1, 59, 16, 54, 1, 
2025/6/2, 66, 7, 47, 3, 
2025/6/3, 39, 10, 47, 1, 
2025/6/4, 55, 16, 65, 2, 1
2025/6/5, 61, 12, 55, 1, 1
2025/6/6, 63, 16, 51, 2, 1
2025/6/7, 69, 25, 39, 1, 1
2025/6/8, 89, 9, 35, 2, 1
2025/6/9, 51, 12, 23, 6, 1
2025/6/10, 43, 13, 46, 4, 1
2025/6/11, 49, 26, 48, 3, 1
2025/6/12, 79, 15, 42, 1, 1
2025/6/13, 64, 12, 38, 1, 1
2025/6/14, 38, 14, 35, 1, 1
2025/6/15, 44, 24, 17, 4, 
2025/6/16, 64, 23, 33, 1, 
2025/6/17, 59, 24, 34, 2, 
2025/6/18, 65, 21, 58, 2, 1
2025/6/19, 74, 27, 45, 1, 1
2025/6/20, 79, 18, 37, 1, 1
2025/6/21, 62, 22, 22, 1, 1
2025/6/22, 63, 18, 23, 2, 1
2025/6/23, 48, 10, 15, 1, 1
2025/6/24, 30, 9, 15, 1, 
2025/6/25, 38, 18, 24, 3, 1
2025/6/26, 47, 21, 65, 2, 1
2025/6/27, 71, 25, 57, 2, 1
2025/6/28, 80, 25, 47, 1, 1
2025/6/29, 73, 29, 34, 2, 1
2025/6/30, 76, 28, 41, 1, 
2025/1/1, 46, , , , 
2025/1/6, 34, 12, 32, 2, 1
2025/1/7, 40, 4, 28, 1, 1
2025/1/8, 15, 4, 27, 2, 
2025/1/9, 24, 4, 30, 1, 1
2025/1/10, 22, 6, 32, 2, 1
2025/1/11, 16, 8, 32, 3, 
2025/1/12, 28, 7, 34, 1, 1
2025/1/13, 26, 13, 38, 3, 1
2025/1/14, 46, 11, 33, 3, 1
2025/1/15, 38, 6, 31, 1, 1
2025/1/16, 17, 6, 29, 3, 1
2025/1/17, 24, 4, 30, 3, 1
2025/1/18, 24, 11, 24, 5, 1
2025/1/19, 36, 12, 28, 5, 1
2025/1/20, 50, 11, 38, 4, 1
2025/1/21, 44, 18, 41, 4, 1
2025/1/22, 62, 18, 36, 7, 1
2025/1/23, 65, 20, 36, 5, 1
2025/1/24, 68, 7, 35, 1, 1
2025/1/25, 21, 7, 33, 2, 1
2025/1/26, 17, 7, 27, 4, 1
2025/1/27, 21, 8, 30, 1, 1
2025/1/28, 20, 5, 32, 1, 
2025/1/29, 19, 11, 36, 2, 
2025/1/30, 45, 24, 39, 3, 1
2025/1/31, 81, 23, 35, 3, 1
2025/2/1, 82, 8, 29, 3, 1
2025/2/2, 33, 11, 37, 3, 1
2025/2/3, 36, 7, 35, 1, 1
2025/2/4, 28, 6, 32, 2, 1
2025/2/5, 21, 6, 34, 1, 1
2025/2/6, 25, 6, 32, 2, 1
2025/2/7, 26, 5, 34, 1, 1
2025/2/8, 24, 5, 32, 1, 1
2025/2/9, 24, 7, 34, 3, 1
2025/2/10, 28, 8, 36, 2, 1
2025/2/11, 29, 8, 32, 4, 1
2025/2/12, 33, 8, 32, 3, 
2025/2/13, 27, 9, 38, 3, 1
2025/2/14, 30, 11, 35, 4, 1
2025/2/15, 37, 17, 30, 6, 1
2025/2/16, 60, 12, 38, 3, 1
2025/2/17, 43, 7, 35, 2, 1
2025/2/18, 21, 5, 34, 1, 1
2025/2/19, 20, 6, 36, 2, 1
2025/2/20, 22, 6, 35, 3, 1
2025/2/21, 29, 9, 37, 2, 1
2025/2/22, 29, 7, 39, 2, 1
2025/2/23, 27, 7, 35, 1, 1
2025/2/24, 29, 6, 40, 2, 1
2025/2/25, 25, 6, 41, 2, 1
2025/2/26, 25, 24, 54, 6, 1
2025/2/27, 78, 27, 34, 10, 1
2025/2/28, 86, 29, 38, 8, 1
2025/3/1, 87, 39, 20, 12, 1
2025/3/2, 105, 13, 37, 9, 1
2025/3/3, 32, 7, 32, 3, 1
2025/3/4, 18, 5, 28, 5, 1
2025/3/5, 18, 3, 35, 2, 1
2025/3/6, 12, 6, 38, 1, 1
2025/3/7, 29, 9, 35, 2, 1
2025/3/8, 35, 11, 39, 2, 1
2025/3/9, 49, 9, 40, 2, 1
2025/3/10, 39, 12, 29, 7, 
2025/3/11, 45, 15, 23, 9, 1
2025/3/12, 40, 16, 40, 5, 1
2025/3/13, 54, 12, 36, 5, 1
2025/3/14, 36, 9, 30, 3, 1
2025/3/15, 29, 5, 31, 2, 
2025/3/16, 14, 8, 39, 1, 1
2025/3/17, 37, 7, 40, 1, 1
2025/3/18, 27, 9, 41, 1, 1
2025/3/19, 34, 9, 44, 2, 1
2025/3/20, 44, 12, 51, 2, 1
2025/3/21, 49, 15, 57, 2, 1
2025/3/22, 60, 18, 72, 3, 1
2025/3/23, 66, 18, 65, 3, 1
2025/3/24, 62, 22, 49, 4, 1
2025/3/25, 75, 35, 76, 4, 1
2025/3/26, 93, 24, 49, 1, 1
2025/3/27, 58, 11, 41, 2, 1
2025/3/28, 37, 7, 39, 1, 1
2025/3/29, 31, 8, 38, 1, 2
2025/3/30, 29, 6, 39, 1, 2
2025/3/31, 25, 6, 31, 4, 2
2024/10/1, 52, 15, 49, 1, 1
2024/10/2, 50, 7, 25, 3, 1
2024/10/3, 21, 5, 27, 2, 1
2024/10/4, 23, 6, 39, 1, 1
2024/10/5, 19, 6, 47, 1, 1
2024/10/6, 25, 7, 29, 2, 1
2024/10/7, 21, 5, 34, 1, 1
2024/10/8, 18, 4, 36, 1, 1
2024/10/9, 26, 7, 38, 2, 
2024/10/10, 32, 7, 35, 2, 
2024/10/11, 30, 8, 36, 1, 
2024/10/12, 34, 7, 38, 2, 
2024/10/13, 33, 9, 36, 1, 
2024/10/14, 33, 9, 35, 1, 1
2024/10/15, 31, 10, 29, 3, 
2024/10/16, 37, 9, 35, 3, 
2024/10/17, 39, 11, 29, 2, 1
2024/10/18, 32, 11, 28, 2, 
2024/10/19, 32, 6, 33, 1, 1
2024/10/20, 19, 6, 31, 1, 1
2024/10/21, 28, 9, 29, 1, 1
2024/10/22, 32, 11, 32, 2, 1
2024/10/23, 32, 11, 32, 4, 1
2024/10/24, 44, 8, 37, 2, 1
2024/10/25, 32, 10, 20, 2, 1
2024/10/26, 44, 9, 35, 1, 1
2024/10/27, 31, 5, 35, 1, 1
2024/10/28, 25, 12, 28, 4, 1
2024/10/29, 38, 6, 35, 2, 1
2024/10/30, 27, 9, 32, 5, 1
2024/10/31, 32, 11, 34, 1, 
2024/11/1, 36, 9, 34, 2, 1
2024/11/2, 22, 11, 40, 1, 1
2024/11/3, 40, 14, 30, 4, 1
2024/11/4, 47, 12, 36, 3, 1
2024/11/5, 47, 8, 34, 2, 1
2024/11/6, 35, 6, 32, 1, 1
2024/11/7, 20, 6, 34, 2, 1
2024/11/8, 26, 7, 34, 2, 1
2024/11/9, 23, 10, 35, 2, 
2024/11/10, 34, 10, 33, 4, 1
2024/11/11, 45, 11, 32, 3, 1
2024/11/12, 47, 14, 39, 4, 
2024/11/13, 51, 18, 37, 3, 
2024/11/14, 61, 20, 18, 3, 
2024/11/15, 67, 24, 12, 3, 
2024/11/16, 71, 18, 27, 4, 
2024/11/17, 57, 5, 28, 1, 1
2024/11/18, 23, 4, 32, 1, 1
2024/11/19, 22, 7, 32, 2, 1
2024/11/20, 23, 9, 33, 4, 1
2024/11/21, 34, 13, 39, 3, 1
2024/11/22, 39, 5, 28, 1, 1
2024/11/23, 12, 5, 28, 1, 1
2024/11/24, 13, 5, 27, 2, 1
2024/11/25, 14, 6, 36, 1, 1
2024/11/26, 26, 10, 29, 2, 1
2024/11/27, 37, 7, 31, 2, 1
2024/11/28, 19, 4, 29, 2, 
2024/11/29, 15, 6, 31, 1, 1
2024/11/30, 22, 6, 31, 1, 1
2024/12/1, 19, 9, 27, 2, 1
2024/12/2, 27, 12, 36, 3, 1
2024/12/3, 42, 9, 32, 2, 1
2024/12/4, 34, 8, 32, 3, 1
2024/12/5, 25, 8, 32, 3, 1
2024/12/6, 28, 9, 31, 2, 1
2024/12/7, 27, 7, 30, 1, 1
2024/12/8, 18, 6, 29, 2, 
2024/12/9, 14, 9, 29, 3, 1
2024/12/10, 28, 6, 31, 2, 1
2024/12/11, 26, 4, 27, 1, 1
2024/12/12, 22, 8, 28, 5, 1
2024/12/13, 40, 6, 31, 1, 1
2024/12/14, 22, 6, 30, 2, 1
2024/12/15, 19, 7, 24, 3, 1
2024/12/16, 28, 6, 28, 3, 1
2024/12/17, 19, 7, 28, 3, 1
2024/12/18, 27, 4, 29, 1, 1
2024/12/19, 17, 6, 27, 2, 1
2024/12/20, 25, 7, 31, 2, 1
2024/12/21, 30, 9, 29, 1, 1
2024/12/22, 36, 5, 29, 2, 1
2024/12/23, 19, 6, 33, 1, 1
2024/12/24, 24, 7, 30, 3, 1
2024/12/25, 28, 7, 35, 3, 2
2024/12/26, 31, 14, 33, 4, 1
2024/12/27, 52, 8, 28, 1, 
2024/12/28, 29, 7, 31, 1, 
2024/12/29, 27, , , , 
2024/7/1, 38, , 24, 6, 
2024/7/2, 45, , 21, 3, 2
2024/7/3, 58, , 30, 2, 1
2024/7/4, 71, 26, 5, 1, 
2024/7/5, 70, 28, 42, 2, 1
2024/7/6, 64, 28, 27, 2, 1
2024/7/7, 67, 29, 23, 2, 
2024/7/8, 67, 28, 22, 2, 1
2024/7/9, 62, 21, 11, 2, 1
2024/7/10, 43, 11, 25, 2, 
2024/7/11, 35, 10, 44, 2, 1
2024/7/12, 27, 11, 39, 1, 
2024/7/13, 28, 16, 25, 1, 1
2024/7/14, 41, 11, 13, 1, 
