date, pm25, pm10, o3, no2, so2, co
2025/11/1, 32, 11, 21, 1, 1, 
2025/11/2, 33, 9, 32, 1, 1, 
2025/11/3, 25, 8, 22, 1, 1, 
2025/11/4, 16, 9, 11, 1, , 
2025/11/5, 27, 10, 17, 1, 1, 
2025/11/6, 29, 10, 34, 1, , 
2025/11/7, 30, 14, 33, 1, 1, 
2025/11/8, 38, 14, 18, 1, 1, 
2025/11/9, 32, 13, 36, 1, 1, 
2025/11/10, 39, 10, 28, 1, , 
2025/11/11, 25, 8, 25, 1, , 
2025/11/12, 28, 12, 8, 1, 1, 
2025/11/13, 36, 16, 33, 1, , 
2025/11/14, 44, 17, 38, 1, 1, 
2025/11/15, 51, 11, 38, 1, , 
2025/11/16, 41, , , , , 
2025/10/1, 39, 12, 32, 1, 1, 
2025/10/2, 41, 14, 14, 1, 1, 
2025/10/3, 37, 11, 36, 1, 1, 
2025/10/4, 17, 12, 18, 1, 1, 
2025/10/5, 26, 9, 34, 1, , 
2025/10/6, 28, 14, 29, 1, 1, 
2025/10/7, 34, 13, 32, 1, 1, 
2025/10/8, 23, 9, 31, 1, 1, 
2025/10/9, 24, 10, 37, 1, 1, 
2025/10/10, 26, 11, 19, 1, 1, 
2025/10/11, 36, 15, 6, 1, 1, 
2025/10/12, 36, 7, 29, 1, 1, 
2025/10/13, 27, 11, 24, 1, 1, 
2025/10/14, 37, 9, 22, 1, 1, 
2025/10/15, 30, 13, 17, 1, 1, 
2025/10/16, 26, 9, 37, 1, 1, 
2025/10/17, 24, 14, 21, 1, 1, 
2025/10/18, 26, 7, 23, 1, 1, 
2025/10/19, 21, 7, 17, 1, 1, 
2025/10/20, 20, 6, 26, 1, 1, 
2025/10/21, 18, 6, 25, 1, , 
2025/10/22, 15, 6, 29, 1, 1, 
2025/10/23, 22, 8, 29, 1, 1, 
2025/10/24, 19, 9, 18, 1, 1, 
2025/10/25, 28, 7, 13, 1, 1, 
2025/10/26, 16, 10, 36, 1, 1, 
2025/10/27, 38, 9, 36, 1, 1, 
2025/10/28, 29, 9, 34, 1, 1, 
2025/10/29, 28, 11, 33, 1, 1, 
2025/10/30, 40, 9, 29, 1, 1, 
2025/10/31, 23, 9, 27, 1, 1, 
2025/7/1, 74, 38, 43, 1, 2, 
2025/7/2, 95, 35, 38, 1, 1, 
2025/7/3, 123, 46, 39, 1, 2, 
2025/7/4, 108, 60, 33, 1, 2, 
2025/7/5, 116, 27, 34, 1, 1, 
2025/7/6, 59, 21, 41, 1, 1, 
2025/7/7, 55, 40, 38, 1, 1, 
2025/7/8, 72, 55, 13, 1, 2, 
2025/7/9, 86, 30, 17, 1, 1, 
2025/7/10, 54, 13, 12, , 1, 
2025/7/11, 13, 11, 22, 1, 1, 
2025/7/12, 14, 12, 19, 1, 1, 
2025/7/13, 13, 17, 16, 1, 1, 
2025/7/14, 11, 17, 32, 1, 1, 
2025/7/15, 39, 29, 38, 1, 1, 
2025/7/16, 60, 13, 9, 1, , 
2025/7/17, 18, 15, 12, , , 1
2025/7/18, 15, 12, 9, , , 1
2025/7/19, 19, 10, 10, 1, , 
2025/7/20, 13, 11, 10, 1, 1, 
2025/7/21, 19, 11, 20, 1, 1, 1
2025/7/22, 27, 12, 25, 1, 1, 1
2025/7/23, 26, 12, 17, 1, 1, 1
2025/7/24, 16, 12, 12, 1, 1, 
2025/7/25, 14, 14, 10, 1, 1, 
2025/7/26, 11, 11, 12, , , 
2025/7/27, 19, 12, 21, 1, 1, 
2025/7/28, 18, 14, 37, 1, 1, 
2025/7/29, 35, 17, 36, 1, 1, 
2025/7/30, 44, 20, 43, 1, 1, 
2025/7/31, 42, 24, 57, 1, 1, 
2025/8/1, 62, 20, 35, 1, 1, 
2025/8/2, 55, 25, 38, 1, 1, 
2025/8/3, 55, 38, 27, 1, 2, 
2025/8/4, 70, 27, 29, 1, 1, 
2025/8/5, 55, 34, 34, 1, 1, 
2025/8/6, 56, 23, 22, 1, 1, 
2025/8/7, 33, 21, 30, 1, , 
2025/8/8, 39, 24, 17, 1, 1, 
2025/8/9, 43, 22, 6, 1, 1, 
2025/8/10, 33, 16, 7, , 1, 
2025/8/11, 17, 20, 13, 1, 1, 
2025/8/12, 27, 20, 17, 1, 1, 
2025/8/13, 38, 25, 30, 1, 1, 
2025/8/14, 54, 34, 31, 1, 1, 
2025/8/15, 71, 31, 29, 1, 1, 
2025/8/16, 59, 22, 26, 1, 1, 
2025/8/17, 52, 20, 27, 1, 1, 
2025/8/18, 40, 19, 35, 1, 1, 
2025/8/19, 45, 17, 27, 1, 2, 
2025/8/20, 39, 18, 19, 1, 2, 
2025/8/21, 24, 13, 20, 1, 1, 
2025/8/22, 20, 23, 17, 1, 1, 
2025/8/23, 41, 31, 37, 1, 1, 
2025/8/24, 54, 30, 31, 1, 1, 
2025/8/25, 62, 35, 26, 1, 3, 
2025/8/26, 61, 45, 23, 1, 4, 
2025/8/27, 75, 29, 28, 1, , 
2025/8/28, 45, 31, 34, 1, 1, 
2025/8/29, 60, 33, 35, 1, 1, 
2025/8/30, 65, 25, 30, 1, 1, 
2025/8/31, 68, 16, 19, 1, 1, 
2025/9/1, 29, 13, 20, 1, 1, 
2025/9/2, 18, 14, 33, 1, 1, 
2025/9/3, 30, 10, 7, 1, 1, 
2025/9/4, 17, 11, 12, 1, 1, 
2025/9/5, 14, 11, 33, 1, 1, 
2025/9/6, 24, 20, 30, 1, 1, 
2025/9/7, 38, 23, 32, 1, 1, 
2025/9/8, 44, 30, 36, 1, 1, 
2025/9/9, 50, 22, 11, 1, 1, 
2025/9/10, 40, 8, 13, 1, 1, 
2025/9/11, 24, 10, 17, 1, 1, 
2025/9/12, 16, 11, 11, 1, 1, 
2025/9/13, 19, 26, 17, 1, 1, 
2025/9/14, 44, 25, 29, 1, 1, 
2025/9/15, 45, 24, 30, 1, 1, 
2025/9/16, 48, 22, 22, 1, 1, 
2025/9/17, 43, 10, 23, 1, 1, 
2025/9/18, 23, 10, 25, 1, 1, 
2025/9/19, 26, 17, 15, 1, 1, 
2025/9/20, 41, 10, 29, 1, 1, 
2025/9/21, 26, 8, 34, 1, 1, 
2025/9/22, 22, 12, 21, 1, 1, 
