date, pm25, pm10, o3, no2, so2, co
2025/11/1, 30, 9, 34, 1, 1, 3
2025/11/2, 38, 6, 32, 1, 1, 2
2025/11/3, 26, 6, 24, 1, 1, 3
2025/11/4, 28, 8, 13, 3, 1, 4
2025/11/5, 42, 8, 24, 2, 1, 3
2025/11/6, 42, 7, 34, 2, 1, 2
2025/11/7, 42, 9, 35, 1, 1, 3
2025/11/8, 49, 9, 21, 1, 1, 3
2025/11/9, 54, 13, 35, 2, 1, 3
2025/11/10, 43, 9, 26, 2, , 3
2025/11/11, 32, 6, 25, 2, , 4
2025/11/12, 27, 9, 9, 4, , 4
2025/11/13, 48, 13, 36, 2, 1, 4
2025/11/14, 55, 11, 37, 1, , 4
2025/11/15, 52, 7, 10, 1, , 3
2025/11/16, 30, , , , , 
2025/10/1, 50, 9, 36, 1, 1, 3
2025/10/2, 49, 10, 13, 1, , 2
2025/10/3, 51, 10, 24, 1, , 2
2025/10/4, 42, 9, 27, 1, , 2
2025/10/5, 38, 7, 31, 1, 1, 2
2025/10/6, 36, 10, 38, 1, 1, 2
2025/10/7, 45, 10, 31, 1, 1, 2
2025/10/8, 40, 8, 28, 1, 1, 
2025/10/9, 24, 6, 38, 1, 1, 2
2025/10/10, 29, 10, 27, 2, 1, 2
2025/10/11, 45, 11, 16, 1, , 3
2025/10/12, 43, 7, 29, 1, 1, 2
2025/10/13, 31, 10, 31, 1, 1, 2
2025/10/14, 39, 6, 29, 1, 1, 2
2025/10/15, 36, 8, 23, 1, 1, 2
2025/10/16, 31, 8, 38, 1, 1, 2
2025/10/17, 31, 8, 28, 1, 1, 2
2025/10/18, 39, 5, 25, 1, 1, 1
2025/10/19, 24, 5, 20, 1, 1, 2
2025/10/20, 25, 5, 23, 3, 1, 
2025/10/21, 21, 4, 22, 1, , 3
2025/10/22, 21, 5, 32, 1, 1, 2
2025/10/23, 27, 5, 32, 1, 1, 2
2025/10/24, 38, 7, 25, 1, 1, 2
2025/10/25, 31, 5, 20, 1, 1, 2
2025/10/26, 23, 8, 39, 1, 1, 3
2025/10/27, 44, 8, 35, 1, 1, 2
2025/10/28, 34, 8, 33, 1, 1, 3
2025/10/29, 27, 8, 32, 2, 1, 2
2025/10/30, 33, 5, 28, 2, 1, 2
2025/10/31, 33, 7, 38, 1, 1, 3
2025/7/1, 81, 38, 51, 2, 2, 3
2025/7/2, 116, 35, 49, 2, 1, 3
2025/7/3, 136, 46, 48, 2, 2, 2
2025/7/4, 134, 60, 31, 1, 2, 2
2025/7/5, 119, 32, 32, 1, 1, 2
2025/7/6, 69, 21, 41, 1, 1, 2
2025/7/7, 60, 40, 42, 1, 1, 2
2025/7/8, 66, 55, 19, 1, 2, 2
2025/7/9, 75, 30, 23, 1, 1, 1
2025/7/10, 70, 13, 16, 1, 1, 1
2025/7/11, 34, 11, 26, 1, 1, 1
2025/7/12, 29, 12, 17, 1, 1, 1
2025/7/13, 23, 17, 14, 1, 1, 2
2025/7/14, 23, 17, 38, 1, 1, 2
2025/7/15, 44, 29, 41, 1, 1, 2
2025/7/16, 65, 13, 10, 1, , 2
2025/7/17, 42, 15, 11, 1, , 1
2025/7/18, 28, 12, 7, 1, , 1
2025/7/19, 25, 10, 10, , , 1
2025/7/20, 22, 11, 17, 1, 1, 1
2025/7/21, 31, 11, 24, 1, 1, 1
2025/7/22, 34, 12, 23, 1, 1, 1
2025/7/23, 39, 12, 23, 1, 1, 1
2025/7/24, 36, 12, 11, 1, 1, 1
2025/7/25, 25, 14, 9, 1, 1, 
2025/7/26, 25, 11, 10, 1, , 
2025/7/27, 84, 12, 24, 1, 1, 1
2025/7/28, 22, 14, 39, 1, 1, 1
2025/7/29, 44, 17, 46, 1, 1, 1
2025/7/30, 56, 20, 45, 1, 1, 
2025/7/31, 59, 24, 47, 1, 1, 2
2025/8/1, 65, 20, 35, 1, 1, 2
2025/8/2, 63, 25, 39, 1, 1, 1
2025/8/3, 61, 38, 28, 1, 2, 2
2025/8/4, 76, 27, 25, 1, 1, 1
2025/8/5, 62, 34, 31, 1, 1, 1
2025/8/6, 57, 23, 33, 1, 1, 2
2025/8/7, 45, 21, 37, 1, 1, 3
2025/8/8, 56, 24, 24, 1, 1, 3
2025/8/9, 51, 22, 10, 1, 1, 2
2025/8/10, 43, 16, 16, 1, 1, 2
2025/8/11, 29, 20, 14, 1, 1, 2
2025/8/12, 37, 20, 19, 1, 1, 2
2025/8/13, 47, 25, 32, 1, 1, 1
2025/8/14, 60, 34, 32, 1, 1, 3
2025/8/15, 69, 31, 34, 1, 1, 2
2025/8/16, 67, 22, 30, 1, , 1
2025/8/17, 56, 20, 29, 1, , 2
2025/8/18, 51, 19, 38, 1, 1, 1
2025/8/19, 49, 12, 25, 1, 1, 1
2025/8/20, 40, 9, 26, 1, 1, 1
2025/8/21, 36, 8, 23, 1, , 1
2025/8/22, 32, 12, 21, 1, , 2
2025/8/23, 43, 18, 40, 1, 1, 2
2025/8/24, 57, 22, 40, 1, 1, 2
2025/8/25, 62, 22, 30, 1, 1, 2
2025/8/26, 64, 34, 22, 2, 3, 2
2025/8/27, 79, 18, 35, 3, 1, 3
2025/8/28, 55, 20, 43, 1, 1, 3
2025/8/29, 58, 27, 40, 1, 1, 2
2025/8/30, 72, 25, 42, 1, 1, 3
2025/8/31, 71, 11, 25, 1, 1, 1
2025/9/1, 43, 8, 24, 1, 1, 1
2025/9/2, 27, 11, 36, 1, 1, 2
