date, pm25, pm10, o3, no2, so2, co
2025/11/1, 43, 9, 26, 1, 1, 
2025/11/2, 35, 7, 31, 1, 1, 
2025/11/3, 27, 6, 19, 1, , 
2025/11/4, 29, 8, 7, 2, , 
2025/11/5, 40, 10, 24, 2, 1, 
2025/11/6, 49, 9, 31, 1, 1, 
2025/11/7, 38, 12, 25, 1, , 
2025/11/8, 49, 14, 17, 3, , 
2025/11/9, 52, 13, 33, 1, , 
2025/11/10, 47, 9, 21, 1, 1, 
2025/11/11, 33, 8, 20, 1, , 
2025/11/12, 34, 11, 3, 2, , 
2025/11/13, 49, 14, 37, 2, 1, 
2025/11/14, 49, 13, 29, 1, , 
2025/11/15, 45, 9, 28, 1, , 
2025/11/16, 41, , , , , 
2025/10/1, 46, 14, 36, 1, 1, 
2025/10/2, 53, 14, 15, 2, , 
2025/10/3, 49, 12, 22, 1, , 
2025/10/4, 40, 10, 21, 1, , 
2025/10/5, 38, 12, 26, 1, 1, 
2025/10/6, 48, 15, 25, 2, 1, 
2025/10/7, 48, 12, 22, 1, , 
2025/10/8, 44, 9, 23, 2, , 
2025/10/9, 33, 9, 28, 1, 1, 
2025/10/10, 38, 10, 21, 2, , 
2025/10/11, 42, 11, 9, 1, , 
2025/10/12, 52, 9, 18, 1, 1, 
2025/10/13, 38, 12, 21, 2, 1, 
2025/10/14, 50, 10, 23, 1, , 
2025/10/15, 42, 13, 14, 2, 1, 
2025/10/16, 47, 7, 27, 1, , 
2025/10/17, 34, 11, 20, 1, 1, 
2025/10/18, 44, 6, 22, 1, 1, 
2025/10/19, 30, 6, 20, 1, , 
2025/10/20, 31, 5, 24, 1, 1, 
2025/10/21, 30, 3, 21, 1, , 
2025/10/22, 23, 6, 35, 1, 1, 
2025/10/23, 30, 6, 29, 1, , 
2025/10/24, 35, 8, 19, 1, , 
2025/10/25, 38, 6, 12, 2, , 
2025/10/26, 31, 9, 28, 1, , 
2025/10/27, 45, 8, 31, 1, 1, 
2025/10/28, 36, 7, 29, 1, , 
2025/10/29, 31, 7, 25, 1, , 
2025/10/30, 31, 5, 27, 2, , 
2025/10/31, 35, 8, 31, 1, 1, 
2025/7/1, 81, 53, 39, 1, 7, 
2025/7/2, 121, 54, 36, 2, 3, 
2025/7/3, 131, 64, 39, 1, 8, 
2025/7/4, 143, 49, 33, 1, 2, 
2025/7/5, 119, 21, 35, 2, 1, 
2025/7/6, 62, 17, 38, 3, 1, 
2025/7/7, 56, 22, 34, 2, 1, 
2025/7/8, 63, 20, 22, 1, 1, 
2025/7/9, 62, 27, 15, 1, 1, 
2025/7/10, 70, 13, 15, 1, , 
2025/7/11, 34, 9, 24, 1, , 
2025/7/12, 27, 8, 17, 1, , 
2025/7/13, 24, 7, 13, 1, , 
2025/7/14, 23, 14, 35, 1, 1, 
2025/7/15, 45, 21, 45, 1, 1, 
2025/7/16, 64, 12, 11, 2, , 
2025/7/17, 40, 8, 7, 1, , 
2025/7/18, 22, 7, 10, 1, , 
2025/7/19, 22, 7, 12, 1, , 
2025/7/20, 25, 10, 26, 1, 1, 
2025/7/21, 27, 13, 27, 1, 1, 
2025/7/22, 40, 11, 34, 1, 1, 
2025/7/23, 36, 11, 29, 1, 1, 
2025/7/24, 37, 7, 10, 1, 1, 
2025/7/25, 29, 7, 10, 1, , 
2025/7/26, 27, 6, 13, 1, , 
2025/7/27, 25, 8, 36, 1, 1, 
2025/7/28, 26, 14, 52, 2, 1, 
2025/7/29, 43, 18, 49, 2, 1, 
2025/7/30, 53, 16, 44, 1, 1, 
2025/7/31, 49, 21, 48, 3, 1, 
2025/8/1, 61, 23, 48, 2, 1, 
2025/8/2, 68, 22, 53, 1, 1, 
2025/8/3, 63, 26, 26, 1, 1, 
2025/8/4, 67, 25, 21, 1, 1, 
