date, pm25, pm10, o3, no2, so2, co
2025/11/1, 29, 12, 35, 2, 1, 2
2025/11/2, 36, 8, 33, 1, 1, 2
2025/11/3, 23, 9, 26, 5, 1, 2
2025/11/4, 25, 10, 21, 9, 1, 3
2025/11/5, 30, 9, 35, 4, 1, 3
2025/11/6, 33, 11, 40, 2, 1, 2
2025/11/7, 40, 15, 40, 4, 1, 3
2025/11/8, 51, 11, 28, 4, 1, 2
2025/11/9, 42, 13, 36, 2, 1, 2
2025/11/10, 41, 10, 32, 3, , 5
2025/11/11, 31, 8, 30, 4, , 3
2025/11/12, 32, 12, 18, 9, 3, 3
2025/11/13, 40, 17, 46, 6, 1, 3
2025/11/14, 58, 17, 37, 5, 1, 4
2025/11/15, 57, 12, 13, 2, , 2
2025/11/16, 47, , , , , 
2025/10/1, 48, 12, 37, 4, 1, 3
2025/10/2, 41, 15, 32, 5, 1, 3
2025/10/3, 47, 10, 36, 1, , 3
2025/10/4, 27, 10, 37, 3, 1, 2
2025/10/5, 28, 10, 38, 1, 1, 2
2025/10/6, 28, 15, 41, 3, 1, 2
2025/10/7, 36, 11, 42, 2, 2, 2
2025/10/8, 36, 9, 39, 1, 1, 1
2025/10/9, 26, 10, 39, 3, 1, 1
2025/10/10, 25, 10, 32, 4, 1, 2
2025/10/11, 31, 11, 22, 5, 1, 2
2025/10/12, 35, 7, 33, 2, 1, 2
2025/10/13, 27, 11, 37, 3, 1, 3
2025/10/14, 33, 9, 39, 2, 1, 2
2025/10/15, 28, 13, 32, 4, 1, 3
2025/10/16, 31, 12, 44, 2, 1, 2
2025/10/17, 33, 11, 34, 3, 1, 2
2025/10/18, 27, 6, 30, 1, 1, 2
2025/10/19, 21, 7, 29, 3, 1, 2
2025/10/20, 19, 7, 31, 1, , 1
2025/10/21, 17, 5, 30, 4, 1, 1
2025/10/22, 20, 7, 38, 2, 1, 1
2025/10/23, 22, 8, 39, 3, 1, 1
2025/10/24, 20, 9, 31, 4, 1, 1
2025/10/25, 29, 6, 30, 2, 1, 2
2025/10/26, 19, 10, 43, 1, 1, 2
2025/10/27, 38, 9, 37, 1, 1, 1
2025/10/28, 26, 10, 35, 2, 1, 1
2025/10/29, 31, 13, 41, 5, 1, 2
2025/10/30, 40, 9, 37, 3, 1, 2
2025/10/31, 29, 8, 39, 2, 1, 2
2025/7/1, 61, 32, 60, 5, 3, 3
2025/7/2, 80, 27, 38, 4, 1, 2
2025/7/3, 62, 36, 38, 3, 2, 2
2025/7/4, 82, 53, 44, 4, 3, 3
2025/7/5, 116, 32, 38, 5, 6, 2
2025/7/6, 81, 27, 60, 5, 2, 2
2025/7/7, 63, 39, 40, 3, 2, 2
2025/7/8, 85, 45, 17, 3, 1, 1
2025/7/9, 102, 23, 28, 2, 1, 1
2025/7/10, 60, 15, 24, 3, 1, 1
2025/7/11, 30, 13, 27, 2, 1, 1
2025/7/12, 28, 13, 24, 2, 1, 1
2025/7/13, 22, 17, 20, 1, 1, 1
2025/7/14, 24, 17, 35, 2, 1, 1
2025/7/15, 41, 25, 43, 1, 1, 2
2025/7/16, 51, 16, 11, 1, 1, 1
2025/7/17, 21, 17, 11, 1, 1, 1
2025/7/18, 29, 14, 12, 1, 1, 1
2025/7/19, 19, 11, 12, 1, , 1
2025/7/20, 18, 10, 12, 1, , 1
2025/7/21, 24, 12, 24, 1, 1, 1
2025/7/22, 26, 11, 18, 2, 1, 1
2025/7/23, 21, 10, 18, 2, , 1
2025/7/24, 19, 12, 13, 2, , 
2025/7/25, 15, 14, 11, 2, 1, 
2025/7/26, 22, 12, 11, 1, , 
2025/7/27, 20, 10, 14, 1, , 1
2025/7/28, 18, 13, 36, 3, 1, 1
2025/7/29, 33, 14, 32, 2, 1, 1
2025/7/30, 39, 19, 40, 2, 1, 1
2025/7/31, 42, 25, 66, 4, 4, 2
2025/8/1, 62, 17, 39, 1, 1, 1
2025/8/2, 50, 24, 39, 1, 1, 2
2025/8/3, 55, 34, 22, 2, 2, 2
2025/8/4, 72, 22, 17, 2, 1, 2
2025/8/5, 42, 30, 27, 3, 1, 2
2025/8/6, 59, 21, 39, 3, 1, 2
2025/8/7, 48, 22, 42, 3, 1, 2
2025/8/8, 49, 19, 34, 3, 1, 3
2025/8/9, 45, 21, 17, 1, 1, 1
2025/8/10, 35, 14, 11, 1, , 1
2025/8/11, 29, 17, 14, 2, 1, 1
2025/8/12, 30, 18, 16, 2, 1, 1
2025/8/13, 35, 20, 37, 3, 3, 2
2025/8/14, 43, 29, 47, 1, 1, 2
2025/8/15, 65, 23, 28, 1, 1, 2
2025/8/16, 56, 20, 24, 1, 1, 
2025/8/17, 43, 16, 37, 2, 1, 2
