date, pm25, pm10, o3, no2, so2
2025/11/1, 32, 7, 22, 1, 
2025/11/2, 30, 5, 32, 1, 1
2025/11/3, 27, 5, 26, 2, 1
2025/11/4, 25, 5, 20, 4, 1
2025/11/5, 29, 5, 32, 2, 1
2025/11/6, 35, 5, 39, 1, 
2025/11/7, 37, 11, 37, 1, 1
2025/11/8, 49, 7, 36, 1, 1
2025/11/9, 37, 11, 35, 1, 1
2025/11/10, 44, 6, 31, 1, 
2025/11/11, 26, 6, 28, 1, 
2025/11/12, 30, 6, 20, 5, 1
2025/11/13, 48, 11, 44, 1, 1
2025/11/14, 53, 15, 40, 2, 1
2025/11/15, 53, 6, 39, 1, 
2025/11/16, 38, , , , 
2025/10/1, 40, 9, 40, 1, 1
2025/10/2, 40, 12, 29, 1, 
2025/10/3, 41, 12, 37, 1, 
2025/10/4, 28, 8, 25, 1, 1
2025/10/5, 22, 9, 36, 1, 1
2025/10/6, 31, 13, 38, 1, 1
2025/10/7, 38, 10, 41, 1, 1
2025/10/8, 35, 8, 37, 1, 1
2025/10/9, 29, 8, 34, 2, 1
2025/10/10, 37, 6, 20, 1, 
2025/10/11, 28, 7, 21, 3, 1
2025/10/12, 35, 6, 32, 1, 1
2025/10/13, 31, 7, 39, 1, 1
2025/10/14, 29, 7, 29, 1, 
2025/10/15, 38, 16, 30, 1, 
2025/10/16, 40, 9, 38, 1, 1
2025/10/17, 35, 8, 33, 1, 
2025/10/18, 31, 3, 28, 1, 1
2025/10/19, 24, 3, 28, 1, 
2025/10/20, 22, 4, 30, 1, 
2025/10/21, 22, 3, 29, 1, 
2025/10/22, 21, 2, 36, 1, 
2025/10/23, 30, 6, 37, 1, 1
2025/10/24, 30, 7, 25, 2, 1
2025/10/25, 38, 4, 29, 1, 
2025/10/26, 20, 7, 40, 1, 1
2025/10/27, 41, 6, 36, 1, 
2025/10/28, 30, 6, 35, 1, 1
2025/10/29, 30, 11, 34, 3, 1
2025/10/30, 44, 4, 36, 1, 
2025/10/31, 26, 4, 27, 1, 
2025/7/1, 74, 32, 37, 1, 1
2025/7/2, 80, 38, 37, 1, 1
2025/7/3, 85, 33, 32, 1, 
2025/7/4, 72, 62, 41, 1, 2
2025/7/5, 135, 65, 43, 1, 1
2025/7/6, 136, 31, 56, 2, 1
2025/7/7, 78, 46, 38, 1, 1
2025/7/8, 95, 57, 17, 1, 1
2025/7/9, 109, 20, 19, 1, 1
2025/7/10, 49, 10, 26, 1, 1
2025/7/11, 29, 14, 27, 1, 
2025/7/12, 31, 11, 25, 1, 
2025/7/13, 26, 17, 20, 1, 
2025/7/14, 24, 23, 35, 1, 1
2025/7/15, 44, 29, 40, 1, 1
2025/7/16, 54, 22, 13, 1, 
2025/7/17, 28, 17, 12, 1, 
2025/7/18, 29, 12, 14, 1, 
2025/7/19, 26, 10, 13, 1, 
2025/7/20, 22, 8, 13, 1, 
2025/7/21, 18, 5, 18, 1, 1
2025/7/22, 24, 6, 18, 1, 
2025/7/23, 22, 6, 21, 1, 
2025/7/24, 25, 11, 15, 1, 
2025/7/25, 22, 14, 11, , 
2025/7/26, 24, 12, 12, 1, 
2025/7/27, 23, 8, 17, 1, 
2025/7/28, 24, 8, 26, 1, 1
2025/7/29, 27, 9, 31, 1, 
2025/7/30, 32, 9, 30, 1, 1
2025/7/31, 36, 16, 34, 1, 1
2025/8/1, 45, 22, 37, 2, 1
2025/8/2, 62, 20, 47, 1, 1
2025/8/3, 58, 28, 23, 1, 2
2025/8/4, 69, 20, 19, 1, 1
2025/8/5, 41, 25, 22, 1, 2
2025/8/6, 62, 18, 15, 1, 
2025/8/7, 44, 14, 31, 1, 1
2025/8/8, 44, 12, 26, 1, 1
2025/8/9, 44, 23, 15, , 2
2025/8/10, 34, 21, 10, , 1
2025/8/11, 38, 13, 8, 1, 
2025/8/12, 32, 15, 20, 1, 1
