date, pm25, pm10, o3, no2, so2, co
2025/11/1, 24, 7, 22, 3, 1, 2
2025/11/2, 32, 7, 20, 1, 1, 2
2025/11/3, 19, 4, 18, 5, 1, 2
2025/11/4, 21, 6, 12, 9, 1, 3
2025/11/5, 29, 5, 27, 4, 1, 3
2025/11/6, 29, 8, 32, 3, , 2
2025/11/7, 33, 11, 33, 4, 1, 3
2025/11/8, 41, 10, 18, 6, 1, 2
2025/11/9, 39, 12, 28, 3, 1, 2
2025/11/10, 36, 8, 24, 4, , 5
2025/11/11, 33, 7, 23, 5, , 3
2025/11/12, 23, 11, 10, 8, 1, 3
2025/11/13, 39, 13, 35, 5, , 3
2025/11/14, 49, 15, 32, 5, 1, 4
2025/11/15, 52, 9, 33, 4, , 1
2025/11/16, 40, , , , , 
2025/10/1, 41, 10, 37, 5, 1, 3
2025/10/2, 37, 9, 25, 6, 1, 3
2025/10/3, 37, 8, 36, 2, 1, 3
2025/10/4, 21, 7, 32, 3, 1, 2
2025/10/5, 20, 8, 37, 3, 1, 2
2025/10/6, 28, 13, 33, 3, 1, 2
2025/10/7, 36, 9, 35, 3, 1, 2
2025/10/8, 33, 7, 31, 3, 1, 1
2025/10/9, 24, 8, 34, 3, 1, 1
2025/10/10, 26, 7, 25, 4, 1, 2
2025/10/11, 23, 10, 16, 5, 1, 2
2025/10/12, 30, 6, 26, 3, 1, 2
2025/10/13, 21, 8, 30, 3, 1, 3
2025/10/14, 29, 7, 31, 2, 1, 2
2025/10/15, 25, 9, 21, 6, 1, 3
2025/10/16, 25, 9, 34, 2, 1, 2
2025/10/17, 25, 10, 26, 5, 1, 2
2025/10/18, 24, 5, 24, 2, 1, 2
2025/10/19, 14, 5, 24, 3, 1, 2
2025/10/20, 17, 4, 25, 2, , 1
2025/10/21, 12, 3, 17, 6, , 1
2025/10/22, 14, 6, 24, 5, 1, 1
2025/10/23, 17, 5, 25, 5, 1, 1
2025/10/24, 23, 6, 17, 6, 1, 1
2025/10/25, 27, 5, 16, 3, 1, 2
2025/10/26, 18, 9, 29, 3, 1, 2
2025/10/27, 31, 6, 23, 3, 1, 1
2025/10/28, 25, 6, 23, 4, 1, 1
2025/10/29, 24, 11, 26, 6, 1, 2
2025/10/30, 40, 6, 19, 5, 1, 2
2025/10/31, 24, 7, 23, 2, 1, 2
