date, pm25, pm10, o3, no2, so2, co
2025/11/1, 13, 6, 30, 1, 1, 4
2025/11/2, 20, 4, 26, 1, 1, 3
2025/11/3, 14, 5, 24, 1, 1, 3
2025/11/4, 17, 7, 18, 3, 1, 3
2025/11/5, 23, 7, 25, 1, 1, 3
2025/11/6, 21, 9, 32, 2, 1, 3
2025/11/7, 29, 13, 35, 1, 1, 3
2025/11/8, 46, 13, 13, 1, 1, 3
2025/11/9, 45, 4, 28, 1, 1, 
2025/11/10, 13, 5, 28, 1, 1, 2
2025/11/11, 16, 8, 30, 2, 1, 3
2025/11/12, 31, 11, 16, 3, 1, 3
2025/11/13, 36, 9, 31, 1, 1, 3
2025/11/14, 29, 9, 31, 1, 1, 3
2025/11/15, 29, , , , , 
2025/10/1, 24, 7, 30, 1, 1, 3
2025/10/2, 16, 11, 38, 2, 1, 2
2025/10/3, 30, 12, 22, 1, 1, 2
2025/10/4, 34, 9, 25, 1, 1, 2
2025/10/5, 21, 13, 36, 1, 1, 3
2025/10/6, 29, 9, 19, 1, , 3
2025/10/7, 23, 11, 30, 1, , 3
2025/10/8, 26, 9, 32, 1, , 3
2025/10/9, 21, 11, 33, 1, 1, 3
2025/10/10, 28, 11, 21, 1, 1, 3
2025/10/11, 31, 8, 22, 1, 1, 4
2025/10/12, 21, 9, 25, 1, 1, 3
2025/10/13, 23, 8, 18, 1, 1, 3
2025/10/14, 21, 8, 23, 1, 1, 3
2025/10/15, 23, 10, 17, 1, 1, 3
2025/10/16, 28, 11, 38, 1, 1, 2
2025/10/17, 30, 10, 27, 1, 1, 2
2025/10/18, 31, 7, 25, 1, 1, 3
2025/10/19, 20, 6, 24, 1, 1, 2
2025/10/20, 17, 5, 28, 1, 1, 2
2025/10/21, 15, 9, 13, 3, 1, 2
2025/10/22, 29, 10, 29, 2, 1, 3
2025/10/23, 36, 10, 32, 1, 1, 3
2025/10/24, 34, 10, 23, 1, 1, 3
2025/10/25, 34, 5, 8, 1, 1, 3
2025/10/26, 15, 7, 34, 1, 1, 3
2025/10/27, 23, 5, 29, 1, 1, 2
2025/10/28, 17, 8, 30, 1, 1, 2
2025/10/29, 25, 13, 27, 1, 1, 3
2025/10/30, 44, 12, 12, 2, 1, 3
2025/10/31, 41, 5, 31, 1, 1, 3
2025/7/1, 62, 21, 19, 1, 1, 2
2025/7/2, 51, 22, 36, 1, 1, 2
2025/7/3, 54, 22, 34, 2, 1, 2
2025/7/4, 52, 21, 22, 1, 1, 3
2025/7/5, 54, 21, 32, 1, , 2
2025/7/6, 52, 36, 57, 2, 1, 3
2025/7/7, 72, 50, 63, 2, 1, 3
2025/7/8, 92, 34, 36, 2, 1, 2
2025/7/9, 74, 24, 31, 2, , 2
2025/7/10, 53, 8, 18, 2, 1, 2
2025/7/11, 18, 11, 21, 1, 1, 2
2025/7/12, 31, 16, 33, 1, 1, 2
2025/7/13, 41, 12, 20, 2, , 2
2025/7/14, 29, 7, 14, 1, 1, 2
2025/7/15, 14, 12, 32, 1, 1, 2
2025/7/16, 26, 11, 10, 1, 1, 1
2025/7/17, 20, 18, 32, 1, , 2
2025/7/18, 36, 18, 36, 1, 1, 1
2025/7/19, 39, 19, 35, 1, 1, 1
2025/7/20, 47, 19, 29, 1, 1, 2
2025/7/21, 46, 23, 28, 1, 1, 
2025/7/22, 55, 24, 25, 1, 1, 2
2025/7/23, 55, 22, 32, 1, 1, 2
2025/7/24, 52, 26, 38, 1, 1, 2
2025/7/25, 57, 24, 38, 1, 1, 1
2025/7/26, 58, 23, 29, 1, 1, 1
2025/7/27, 55, 22, 43, 1, 1, 2
2025/7/28, 52, 21, 49, 1, 1, 2
2025/7/29, 52, 16, 45, 2, 1, 2
2025/7/30, 39, 14, 38, 1, 1, 2
2025/7/31, 35, 12, 29, 2, 1, 2
2025/8/1, 30, 9, 15, 1, 1, 2
2025/8/2, 19, 16, 36, 1, 1, 2
2025/8/3, 37, 24, 46, 2, 1, 2
2025/8/4, 52, 28, 29, 1, 1, 
2025/8/5, 63, 16, 24, 1, 1, 2
2025/8/6, 36, 9, 36, 1, 1, 2
2025/8/7, 21, 10, 32, 1, 1, 2
2025/8/8, 22, 13, 46, 1, , 2
2025/8/9, 35, 17, 25, 2, 1, 1
2025/8/10, 44, 11, 12, 1, 1, 2
2025/8/11, 23, 11, 8, 1, 1, 2
2025/8/12, 21, 11, 36, 1, , 2
2025/8/13, 23, 12, 29, 1, 1, 2
2025/8/14, 26, 15, 15, 1, 1, 2
2025/8/15, 33, 17, 24, 1, , 2
2025/8/16, 39, 17, 24, 1, 1, 2
2025/8/17, 40, 15, 36, 1, 1, 2
2025/8/18, 36, 23, 36, 1, 1, 2
2025/8/19, 49, 24, 45, 1, 1, 2
2025/8/20, 50, 20, 17, 1, 1, 2
2025/8/21, 42, 27, 48, 2, 1, 2
2025/8/22, 55, 38, 43, 1, , 2
2025/8/23, 67, 29, 44, 1, 1, 2
2025/8/24, 54, 27, 45, 2, 1, 2
2025/8/25, 51, 41, 44, 2, 1, 2
2025/8/26, 65, 25, 30, 1, 1, 2
2025/8/27, 48, 13, 57, 1, 1, 2
2025/8/28, 29, 17, 55, 2, 1, 2
2025/8/29, 37, 19, 33, 1, , 2
2025/8/30, 45, 27, 61, 1, 1, 3
2025/8/31, 52, 29, 54, 2, 1, 2
2025/9/1, 58, 20, 40, 1, , 3
2025/9/2, 43, 11, 30, 1, 1, 2
2025/9/3, 24, 14, 20, 2, 1, 2
2025/9/4, 27, 9, 11, 1, 1, 
2025/9/5, 15, 12, 41, 1, 1, 
2025/9/6, 25, 17, 44, 1, 1, 2
2025/9/7, 39, 20, 31, 1, 1, 3
2025/9/8, 40, 20, 38, 1, 1, 2
2025/9/9, 37, 27, 41, 1, 1, 2
2025/9/10, 45, 10, 28, 1, 1, 2
2025/9/11, 17, 9, 21, 2, 1, 2
2025/9/12, 18, 7, 22, 1, 1, 2
2025/9/13, 14, 8, 14, 1, 1, 2
2025/9/14, 11, 15, 29, 1, , 3
2025/9/15, 26, 23, 36, 1, 1, 3
2025/9/16, 43, 25, 31, 1, 1, 2
2025/9/17, 47, 15, 19, 1, 1, 2
2025/9/18, 30, 7, 25, 1, , 2
2025/9/19, 14, 8, 21, 1, 1, 2
2025/9/20, 17, 5, 28, 1, 1, 2
2025/9/21, 11, 8, 33, 1, 1, 3
2025/9/22, 19, 11, 31, 1, , 2
2025/9/23, 29, 12, 27, 1, 1, 2
2025/9/24, 35, 16, 38, 2, 1, 2
2025/9/25, 42, 9, 23, 1, , 3
2025/9/26, 20, 9, 38, 1, 1, 2
2025/9/27, 21, 15, 43, 1, 1, 2
2025/9/28, 40, 12, 36, 1, 1, 3
2025/9/29, 30, 8, 41, 2, 1, 3
2025/9/30, 21, 10, 28, 1, 1, 2
2025/4/1, 32, 3, 31, 2, 1, 3
2025/4/2, 9, 4, 29, 2, 1, 
2025/4/3, 12, 4, 38, 1, 1, 2
2025/4/4, 17, 10, 47, 2, 1, 3
2025/4/5, 37, 11, 43, 2, , 
2025/4/6, 39, 8, 43, 2, 1, 4
2025/4/7, 28, 14, 48, 2, 1, 3
2025/4/8, 44, 9, 47, 2, 1, 3
2025/4/9, 29, 13, 45, 2, 1, 3
2025/4/10, 42, 13, 46, 1, 1, 3
2025/4/11, 41, , , , , 3
2025/4/13, 9, 7, 41, 1, 1, 3
2025/4/14, 16, 10, 41, 2, 1, 3
2025/4/15, 28, 8, 43, 1, 1, 3
2025/4/16, 26, 17, 58, 2, 1, 3
2025/4/17, 53, 25, 75, 4, 1, 3
2025/4/18, 69, 36, 74, 3, 1, 3
2025/4/19, 79, 30, 50, 3, 1, 2
2025/4/20, 68, 9, 44, 1, 1, 3
2025/4/21, 28, 16, 63, 4, 1, 3
2025/4/22, 49, 10, 34, 2, 1, 3
2025/4/23, 31, 12, 53, 3, 1, 3
2025/4/24, 33, 12, 45, 2, 1, 3
2025/4/25, 40, 17, 44, 2, 1, 
2025/4/26, 53, 14, 45, 2, 1, 3
2025/4/27, 50, 18, 51, 3, 1, 3
2025/4/28, 53, 10, 44, 1, 1, 3
2025/4/29, 36, 14, 46, 1, 1, 3
2025/4/30, 49, 17, 59, 2, 1, 3
2025/5/1, 54, 9, 39, 2, , 2
2025/5/2, 27, 8, 52, 1, 1, 3
2025/5/3, 26, 9, 42, 1, , 
2025/5/4, 29, 12, 48, 1, 1, 3
2025/5/5, 37, 9, 35, 1, 1, 4
2025/5/6, 28, 6, 42, 1, 1, 3
2025/5/7, 17, 10, 50, 2, 1, 2
2025/5/8, 33, 14, 40, 3, 1, 2
2025/5/9, 43, 8, 32, 1, 1, 2
2025/5/10, 22, 6, 42, 1, 1, 4
2025/5/11, 16, 8, 33, 2, 1, 3
2025/5/12, 24, 12, 55, 1, 1, 3
2025/5/13, 39, 17, 59, 3, 1, 3
2025/5/14, 54, 18, 72, 3, 1, 3
2025/5/15, 56, 19, 65, 4, 1, 3
2025/5/16, 56, 12, 26, 2, 1, 2
2025/5/17, 35, 11, 26, 1, , 2
2025/5/18, 29, 13, 30, 2, 1, 3
2025/5/19, 32, 26, 54, 2, 1, 3
2025/5/20, 58, 40, 82, 3, 1, 3
2025/5/21, 83, 30, 47, 2, 1, 2
2025/5/22, 68, 14, 47, 2, 1, 2
2025/5/23, 44, 12, 28, 1, 1, 2
2025/5/24, 40, 6, 29, 1, , 2
2025/5/25, 19, 6, 33, 1, 1, 3
2025/5/26, 17, 11, 44, 2, 1, 3
2025/5/27, 36, 12, 47, 2, 1, 3
2025/5/28, 38, 14, 57, 4, 1, 3
2025/5/29, 43, 10, 28, 3, 1, 3
2025/5/30, 34, 9, 15, 1, 1, 2
2025/5/31, 26, 5, 41, 1, 1, 2
2025/6/1, 12, 11, 50, 2, 1, 3
2025/6/2, 39, 13, 39, 2, 1, 3
2025/6/3, 40, 9, 44, 1, 1, 
2025/6/4, 27, 12, 47, 1, 1, 3
2025/6/5, 38, 18, 64, 2, 1, 3
2025/6/6, 50, 23, 75, 2, 1, 3
2025/6/7, 63, 25, 59, 2, 1, 3
2025/6/8, 66, 23, 74, 3, 1, 3
2025/6/9, 64, 14, 32, 3, 1, 3
2025/6/10, 43, 9, 29, 1, 1, 3
2025/6/11, 19, 12, 38, 1, 1, 3
2025/6/12, 36, 18, 44, 3, 1, 3
2025/6/13, 49, 14, 32, 2, 1, 2
2025/6/14, 42, 6, 15, 1, 1, 2
2025/6/15, 12, 17, 47, 2, 1, 2
2025/6/16, 37, 25, 69, 2, 1, 2
2025/6/17, 56, 17, 55, 2, 1, 3
2025/6/18, 46, 18, 66, 2, 1, 3
2025/6/19, 50, 20, 52, 3, 1, 2
2025/6/20, 51, 23, 56, 3, 1, 2
2025/6/21, 56, 18, 41, 1, 1, 2
2025/6/22, 50, 11, 13, 1, 1, 2
2025/6/23, 27, 12, 24, 2, 1, 2
2025/6/24, 27, 12, 15, 1, 1, 2
2025/6/25, 28, 10, 14, 1, 1, 2
2025/6/26, 21, 13, 37, 1, 1, 3
2025/6/27, 35, 14, 37, 1, 1, 3
2025/6/28, 40, 18, 45, 1, 1, 2
2025/6/29, 51, 21, 46, 1, 1, 3
2025/6/30, 57, 25, 33, 1, 1, 2
2025/1/1, 20, 4, 31, 2, 1, 3
2025/1/2, 14, 5, 27, 2, 1, 3
2025/1/3, 18, 4, 26, 2, , 3
2025/1/4, 17, 5, 26, 3, 1, 3
2025/1/5, 17, 8, 21, 4, 1, 4
2025/1/6, 30, 4, 30, 2, 1, 4
2025/1/7, 15, 2, 26, 2, 1, 3
2025/1/8, 9, 4, 31, 3, 2, 3
2025/1/9, 17, 3, 30, 2, 1, 3
2025/1/10, 13, 4, 28, 3, 1, 3
2025/1/11, 14, 4, 29, 2, 1, 3
2025/1/12, 15, 4, 28, 3, 1, 3
2025/1/13, 16, 4, 31, 2, 1, 4
2025/1/14, 15, 5, 31, 3, 1, 4
2025/1/15, 20, 3, 28, 3, 1, 3
2025/1/16, 13, 5, 29, 3, 1, 4
2025/1/17, 17, 4, 31, 2, 1, 4
2025/1/18, 15, 8, 29, 3, 1, 3
2025/1/19, 34, 9, 33, 4, 1, 3
2025/1/20, 34, 9, 37, 2, 1, 3
2025/1/21, 33, 7, 36, 3, 1, 3
2025/1/22, 26, 9, 34, 4, 1, 4
2025/1/23, 33, 10, 37, 3, 1, 4
2025/1/24, 39, 4, 34, 2, 1, 3
2025/1/25, 17, 3, 33, 1, 1, 4
2025/1/26, 11, 6, 30, 5, 1, 3
2025/1/27, 21, 6, 33, 3, 1, 3
2025/1/28, 24, 6, 32, 3, 1, 3
2025/1/29, 22, 4, 34, 4, 1, 3
2025/1/30, 14, 5, 35, 2, 1, 4
2025/1/31, 16, 8, 36, 2, 1, 4
2025/2/1, 32, 14, 25, 3, 1, 3
2025/2/2, 51, 15, 27, 4, 1, 3
2025/2/3, 51, 5, 33, 3, 1, 3
2025/2/4, 21, 3, 35, 2, 1, 
2025/2/5, 14, 3, 34, 2, 1, 3
2025/2/6, 12, 9, 33, 2, 2, 3
2025/2/7, 27, 3, 29, 1, 1, 3
2025/2/8, 13, 3, 31, 2, 1, 3
2025/2/9, 12, 3, 30, 2, 1, 3
2025/2/10, 14, 4, 32, 3, 1, 3
2025/2/11, 14, 6, 31, 3, 1, 3
2025/2/12, 24, 5, 33, 2, 1, 3
2025/2/13, 17, 5, 34, 3, 1, 3
2025/2/14, 19, 8, 35, 2, 1, 3
2025/2/15, 26, 9, 38, 2, 1, 3
2025/2/16, 33, 8, 39, 1, , 3
2025/2/17, 29, 4, 32, 1, 1, 3
2025/2/18, 14, 2, 32, 1, 1, 3
2025/2/19, 10, 3, 34, 1, 1, 3
2025/2/20, 10, 4, 35, 2, 1, 3
2025/2/21, 14, 5, 36, 1, 1, 3
2025/2/22, 18, 4, 38, 3, 1, 3
2025/2/23, 13, 4, 38, 2, 1, 
2025/2/24, 18, 8, 41, 3, 1, 3
2025/2/25, 29, 10, 44, 3, 1, 3
2025/2/26, 32, 13, 46, 3, 1, 3
2025/2/27, 46, 14, 51, 4, 1, 4
2025/2/28, 48, 14, 49, 3, 1, 4
2025/3/1, 45, 12, 44, 3, 1, 4
2025/3/2, 41, 5, 36, 2, 1, 3
2025/3/3, 16, 7, 29, 3, 1, 3
2025/3/4, 25, 5, 19, 5, 1, 3
2025/3/5, 19, 3, 36, 2, 1, 2
2025/3/6, 10, 4, 39, 1, 1, 
2025/3/7, 17, 11, 38, 2, 1, 3
2025/3/8, 43, 10, 40, 2, 1, 3
2025/3/9, 36, 9, 44, 3, 1, 3
2025/3/10, 33, 11, 38, 3, 1, 3
2025/3/11, 43, 10, 38, 3, 1, 3
2025/3/12, 37, 14, 51, 2, 1, 3
2025/3/13, 39, 13, 40, 2, 1, 3
2025/3/14, 31, 10, 33, 2, 1, 2
2025/3/15, 31, 7, 22, 2, 1, 2
2025/3/16, 28, 3, 36, 1, 1, 3
2025/3/17, 9, 7, 39, 3, 1, 3
2025/3/18, 25, 5, 33, 4, 1, 3
2025/3/19, 17, 6, 39, 1, 1, 4
2025/3/20, 24, 11, 44, 3, 1, 3
2025/3/21, 39, 16, 53, 2, 1, 4
2025/3/22, 51, 21, 53, 1, 1, 4
2025/3/23, 56, 22, 45, 3, 1, 4
2025/3/24, 60, 34, 59, 3, 1, 3
2025/3/25, 75, 37, 49, 3, 1, 4
2025/3/26, 78, 25, 60, 4, 1, 3
2025/3/27, 60, 17, 44, 3, 1, 3
2025/3/28, 45, 5, 37, 1, 1, 
2025/3/29, 17, 5, 37, 1, 1, 3
2025/3/30, 23, 6, 36, 2, 1, 3
2025/3/31, 23, 8, 24, 3, 1, 3
2024/11/24, 13, 7, 23, 2, , 2
2024/11/25, 25, 8, 22, 3, 1, 1
2024/11/26, 29, 6, 23, 2, 1, 1
2024/11/27, 19, 4, 30, 3, 1, 1
2024/11/28, 14, 4, 25, 2, 1, 1
2024/11/29, 18, 4, 31, 1, , 1
2024/11/30, 18, 4, 30, 1, 1, 1
2024/12/1, 14, 5, 32, 2, 1, 2
2024/12/2, 20, 10, 32, 4, 1, 1
2024/12/3, 38, 8, 36, 2, 1, 1
2024/12/4, 26, 6, 34, 2, 1, 1
2024/12/5, 21, 4, 35, 3, 1, 1
2024/12/6, 15, 3, 24, 1, , 1
2024/12/7, 11, 3, 29, 2, , 1
2024/12/8, 10, 3, 26, 3, , 2
2024/12/9, 14, 4, 25, 3, , 2
2024/12/10, 15, 3, 25, 2, 1, 3
2024/12/11, 15, 4, 27, 3, 1, 
2024/12/12, 14, 6, 20, 6, 1, 4
2024/12/13, 22, 5, 30, 2, 1, 3
2024/12/14, 16, 4, 28, 2, 1, 3
2024/12/15, 15, 4, 25, 4, 1, 3
2024/12/16, 15, 4, 26, 3, 1, 3
2024/12/17, 15, 3, 26, 3, 1, 3
2024/12/18, 13, 2, 27, 2, 1, 3
2024/12/19, 9, 5, 26, 3, 1, 3
2024/12/20, 15, 5, 29, 4, 3, 4
2024/12/21, 21, 2, 30, 1, 1, 4
2024/12/22, 10, 4, 29, 3, , 3
2024/12/23, 12, 3, 20, 2, , 3
2024/12/24, 11, 6, 26, 4, , 4
2024/12/25, 20, 6, 33, 3, 1, 3
2024/12/26, 22, 3, 30, 2, 1, 3
2024/12/27, 9, 3, 30, 2, , 
2024/12/28, 14, 3, 28, 2, 1, 3
2024/12/29, 12, , , , , 
2022/4/1, 1, , , , , 
2022/1/3, 28, 8, 28, 5, 1, 2
2022/1/4, 29, 3, 30, 2, , 
2022/1/5, 26, 7, 16, 16, 1, 2
2022/1/6, 15, 7, 30, 6, 1, 2
2022/1/7, 21, 5, 29, 7, 1, 2
2022/1/8, 21, 8, 33, 6, 1, 2
2022/1/9, 33, 10, 27, 9, 1, 2
2022/1/10, 32, 12, 32, 12, 1, 3
2022/1/11, 20, 4, 29, 3, 1, 2
2022/1/12, 17, 8, 29, 8, 1, 2
2022/1/13, 26, 6, 29, 5, 1, 3
2022/1/14, 16, 5, 30, 3, 1, 
2022/1/15, 25, 10, 27, 8, 1, 3
2022/1/16, 37, 13, 30, 9, 1, 3
2022/1/17, 34, 5, 29, 4, 1, 2
2022/1/18, 19, 5, 25, 8, 1, 3
2022/1/19, 30, 7, 28, 12, 1, 3
2022/1/20, 20, 4, 32, 4, 1, 2
2022/1/21, 19, 5, 33, 4, 1, 2
2022/1/22, 21, 10, 24, 7, 1, 2
2022/1/23, 36, 5, 31, 8, , 2
2022/1/24, 25, 12, 15, 19, , 3
2022/1/25, 33, 8, 34, 9, 1, 2
2022/1/26, 25, 9, 35, 6, , 2
2022/1/27, 38, 7, 32, 10, 1, 3
2022/1/28, 31, 8, 34, 10, 1, 3
2022/1/29, 35, 6, 30, 3, 1, 2
2022/1/30, 20, 4, 32, 4, 1, 2
2022/1/31, 25, 7, 36, 9, 1, 3
2022/2/1, 31, 7, 36, 6, 1, 2
2022/2/2, 32, 12, 33, 10, 1, 3
2022/2/3, 43, 4, 34, 6, 1, 
2022/2/4, 26, 5, 33, 4, 1, 2
2022/2/5, 20, 4, 32, 3, 1, 2
2022/2/6, 20, 6, 32, 8, 1, 2
2022/2/7, 25, 7, 28, 10, 1, 2
2022/2/8, 27, 7, 27, 13, 1, 3
2022/2/9, 23, 10, 24, 12, 1, 2
2022/2/10, 24, 4, 35, 6, , 1
2022/2/11, 24, 7, 29, 8, 1, 3
2022/2/12, 28, 10, 24, 6, , 2
2022/2/13, 27, 12, 21, 14, 1, 3
2022/2/14, 31, 15, 33, 9, 1, 2
2022/2/15, 32, 8, 33, 6, , 2
2022/2/16, 25, 6, 32, 6, , 2
2022/2/17, 25, 4, 31, 6, , 2
2022/2/18, 19, 6, 28, 9, , 2
2022/2/19, 15, 3, 36, 2, , 2
