date, pm25, pm10, o3, no2, so2, co
2025/11/1, 19, 12, 38, 5, 1, 4
2025/11/2, 35, 6, 33, 2, 1, 3
2025/11/3, 18, 5, 30, 5, 1, 3
2025/11/4, 14, 7, 23, 5, 1, 3
2025/11/5, 22, 7, 30, 6, 1, 3
2025/11/6, 20, 10, 38, 4, 1, 3
2025/11/7, 28, 12, 37, 4, 1, 3
2025/11/8, 38, 11, 29, 2, 1, 3
2025/11/9, 31, 9, 36, 3, 1, 
2025/11/10, 23, 8, 29, 4, 1, 2
2025/11/11, 21, 9, 25, 7, 1, 3
2025/11/12, 27, 12, 25, 9, 1, 3
2025/11/13, 34, 15, 42, 8, 1, 3
2025/11/14, 46, 12, 37, 6, 2, 3
2025/11/15, 39, , , , , 
2025/10/1, 27, 12, 49, 6, 1, 3
2025/10/2, 35, 10, 35, 7, 1, 2
2025/10/3, 28, 9, 31, 3, 1, 2
2025/10/4, 22, 8, 39, 1, 1, 2
2025/10/5, 15, 7, 37, 3, 1, 3
2025/10/6, 16, 12, 31, 5, 1, 3
2025/10/7, 27, 15, 39, 5, 1, 3
2025/10/8, 37, 14, 38, 4, 1, 3
2025/10/9, 31, 16, 29, 6, 1, 3
2025/10/10, 35, 9, 23, 4, 1, 3
2025/10/11, 23, 9, 28, 4, 1, 4
2025/10/12, 27, 9, 34, 2, 1, 3
2025/10/13, 24, 11, 25, 7, 1, 3
2025/10/14, 25, 6, 23, 5, 1, 3
2025/10/15, 17, 7, 20, 6, 1, 3
2025/10/16, 16, 9, 42, 5, 1, 2
2025/10/17, 22, 11, 31, 3, 1, 2
2025/10/18, 26, 9, 24, 4, 1, 3
2025/10/19, 23, 9, 34, 4, 1, 2
2025/10/20, 23, 5, 23, 5, 1, 2
2025/10/21, 17, 5, 20, 4, 1, 2
2025/10/22, 14, 6, 29, 4, 1, 3
2025/10/23, 17, 7, 22, 5, 1, 3
2025/10/24, 14, 5, 16, 3, 1, 3
2025/10/25, 1, 8, 28, 2, 1, 3
2025/10/26, 1, 8, 43, 4, 1, 3
2025/10/27, 1, 8, 36, 2, 1, 2
2025/10/28, 4, 9, 34, 6, 1, 2
2025/10/29, 26, 12, 37, 6, 1, 3
2025/10/30, 38, 8, 26, 4, 1, 3
2025/10/31, 21, 5, 36, 4, 1, 3
2025/7/1, 50, 19, 39, 1, 1, 2
2025/7/2, 48, 23, 32, 1, 1, 2
2025/7/3, 56, 16, 33, 1, 1, 2
2025/7/4, 43, 45, 68, 1, 2, 3
2025/7/5, 100, 23, 73, 1, 1, 3
2025/7/6, 60, 49, 50, 1, 1, 3
2025/7/7, 102, 44, 28, 1, , 3
2025/7/8, 89, 43, 13, 2, 1, 2
2025/7/9, 89, 14, 15, 1, 1, 2
2025/7/10, 31, 10, 35, 2, 1, 2
2025/7/11, 21, 13, 30, 1, 1, 2
2025/7/12, 27, 12, 29, 1, 1, 2
2025/7/13, 27, 10, 21, 1, 1, 2
2025/7/14, 16, 20, 27, 1, 1, 2
2025/7/15, 28, 22, 21, 1, 1, 2
2025/7/16, 33, 26, 10, 1, 1, 1
2025/7/17, 26, 17, 6, 2, 1, 2
2025/7/18, 18, 10, 13, 1, 1, 1
2025/7/19, 13, 10, 12, 1, 1, 1
2025/7/20, 14, 10, 16, 1, 1, 2
2025/7/21, 14, 9, 20, 1, 1, 
2025/7/22, 12, 9, 26, 2, 1, 2
2025/7/23, 15, 9, 23, 2, 1, 2
2025/7/24, 18, 7, 12, 2, 1, 2
