date, pm25, pm10, o3, no2, so2, co
2025/11/1, 27, 11, 39, 8, 2, 4
2025/11/2, 38, 5, 36, 4, 1, 3
2025/11/3, 24, 5, 34, 7, 1, 3
2025/11/4, 16, 7, 28, 10, 1, 3
2025/11/5, 21, 8, 29, 9, 1, 3
2025/11/6, 26, 9, 41, 5, 1, 
2025/11/7, 31, 10, 41, 4, 1, 3
2025/11/8, 41, 10, 34, 3, 1, 3
2025/11/9, 33, 11, 37, 6, 1, 
2025/11/10, 30, 9, 29, 9, 1, 2
2025/11/11, 29, 8, 30, 8, 1, 3
2025/11/12, 29, 12, 24, 16, 4, 3
2025/11/13, 41, 15, 46, 11, 1, 3
2025/11/14, 47, 11, 21, 9, 1, 3
2025/11/15, 37, , , , , 
2025/10/1, 26, 12, 44, 12, 1, 3
2025/10/2, 40, 9, 41, 4, 1, 2
2025/10/3, 27, 8, 33, 2, , 2
2025/10/4, 25, 8, 40, 1, , 2
2025/10/5, 17, 10, 39, 6, 1, 3
2025/10/6, 22, 11, 38, 4, 1, 3
2025/10/7, 31, 14, 39, 8, 1, 3
2025/10/8, 40, 13, 43, 7, 2, 3
2025/10/9, 36, 13, 36, 4, 1, 3
2025/10/10, 33, 8, 27, 2, , 3
2025/10/11, 21, 11, 28, 6, 1, 4
2025/10/12, 30, 12, 34, 9, 3, 3
2025/10/13, 32, 12, 29, 4, 1, 3
2025/10/14, 27, 6, 30, 3, , 3
2025/10/15, 15, 8, 29, 5, , 3
2025/10/16, 15, 8, 44, 4, 1, 2
2025/10/17, 19, 9, 37, 2, 1, 2
2025/10/18, 20, 8, 31, 4, 1, 3
2025/10/19, 21, 8, 35, 7, 1, 2
2025/10/20, 22, 6, 26, 5, , 2
2025/10/21, 17, 6, 25, 5, , 2
2025/10/22, 11, 6, 31, 6, 1, 3
2025/10/23, 17, 7, 28, 5, 1, 3
2025/10/24, 14, 8, 22, 3, 1, 3
2025/10/25, 1, 9, 25, 4, 1, 3
2025/10/26, 1, 9, 44, 5, 1, 3
2025/10/27, 1, 8, 39, 4, 1, 2
2025/10/28, 6, 9, 33, 11, 2, 2
2025/10/29, 30, 12, 40, 12, 2, 3
2025/10/30, 43, 8, 33, 7, 1, 3
2025/10/31, 23, 7, 38, 6, 1, 3
2025/7/1, 51, 15, 40, 3, 1, 2
2025/7/2, 46, 24, 35, 2, 1, 2
2025/7/3, 55, 14, 31, 2, , 2
2025/7/4, 38, 41, 64, 4, 2, 3
2025/7/5, 101, 24, 67, 5, 2, 3
2025/7/6, 63, 53, 48, 3, 1, 3
2025/7/7, 111, 48, 31, 3, 1, 3
2025/7/8, 103, 46, 18, 1, 1, 2
2025/7/9, 96, 15, 18, 3, 1, 2
2025/7/10, 29, 12, 40, 2, 1, 2
2025/7/11, 22, 13, 36, 3, 1, 2
2025/7/12, 32, 13, 34, 1, 1, 2
2025/7/13, 32, 13, 24, 1, , 2
2025/7/14, 14, 21, 32, 1, , 2
2025/7/15, 33, 24, 23, 2, , 2
2025/7/16, 40, 26, 16, 1, , 1
2025/7/17, 35, 16, 12, 1, , 2
2025/7/18, 26, 9, 20, 1, , 1
2025/7/19, 17, 11, 17, 1, 1, 1
2025/7/20, 18, 11, 17, 1, , 2
2025/7/21, 17, 11, 19, 2, 1, 
2025/7/22, 15, 10, 20, 3, 1, 2
2025/7/23, 15, 10, 26, 2, 1, 2
2025/7/24, 18, 8, 17, 2, 1, 2
2025/7/25, 13, 12, 18, 2, , 1
2025/7/26, 19, 10, 15, 1, 1, 1
2025/7/27, 14, 12, 24, 3, 1, 2
2025/7/28, 19, 15, 34, 3, 1, 2
2025/7/29, 28, 18, 44, 3, 1, 2
2025/7/30, 33, 17, 33, 4, 1, 2
2025/7/31, 41, 24, 80, 5, 1, 2
2025/8/1, 54, 23, 48, 5, 1, 2
2025/8/2, 55, 25, 61, 3, 1, 2
2025/8/3, 56, 43, 32, 2, 3, 2
2025/8/4, 82, 23, 28, 5, 1, 
2025/8/5, 51, 29, 47, 5, 1, 2
2025/8/6, 55, 23, 47, 6, 1, 2
2025/8/7, 55, 16, 50, 6, , 2
2025/8/8, 38, 18, 57, 4, , 2
2025/8/9, 44, 24, 28, 1, , 1
2025/8/10, 32, 25, 12, 1, , 2
