date, pm25, pm10, o3, no2, so2, co
2025/11/1, 16, 9, 37, 4, 1, 4
2025/11/2, 35, 6, 32, 2, 1, 3
2025/11/3, 21, 7, 28, 5, 1, 3
2025/11/4, 13, 6, 32, 2, 1, 3
2025/11/5, 16, 7, 27, 7, 1, 3
2025/11/6, 22, 8, 37, 3, 1, 
2025/11/7, 32, 10, 37, 2, 1, 3
2025/11/8, 40, 9, 34, 2, 1, 3
2025/11/9, 32, 7, 35, 2, 1, 
2025/11/10, 28, 7, 26, 3, 1, 2
2025/11/11, 25, 7, 28, 5, 1, 3
2025/11/12, 28, 7, 24, 10, 1, 3
2025/11/13, 39, 9, 38, 6, 1, 3
2025/11/14, 47, 8, 36, 3, 1, 3
2025/11/15, 41, , , , , 
2025/10/1, 28, 10, 46, 6, 1, 3
2025/10/2, 36, 9, 40, 2, 1, 2
2025/10/3, 31, 7, 36, 1, 1, 2
2025/10/4, 25, 6, 40, 1, 1, 2
2025/10/5, 19, 7, 38, 2, 1, 3
2025/10/6, 20, 11, 35, 2, , 3
2025/10/7, 33, 13, 38, 4, , 3
2025/10/8, 40, 10, 42, 3, , 3
2025/10/9, 36, 14, 32, 4, 1, 3
2025/10/10, 41, 12, 24, 1, 1, 3
2025/10/11, 24, 14, 28, 3, 1, 4
2025/10/12, 29, 8, 34, 2, 1, 3
2025/10/13, 23, 10, 26, 3, 1, 3
2025/10/14, 30, 7, 26, 2, 1, 3
2025/10/15, 15, 10, 28, 3, 1, 3
2025/10/16, 16, 9, 40, 4, 1, 2
2025/10/17, 23, 6, 34, 1, 1, 2
2025/10/18, 23, 11, 27, 3, 1, 3
2025/10/19, 22, 7, 34, 3, 1, 2
2025/10/20, 22, 7, 21, 4, 1, 2
2025/10/21, 14, 5, 19, 3, 1, 2
2025/10/22, 12, 7, 28, 3, 1, 3
2025/10/23, 15, 8, 22, 5, 1, 3
2025/10/24, 15, 5, 18, 2, 1, 3
2025/10/25, 1, 7, 28, 2, 1, 3
2025/10/26, 1, 6, 42, 2, 1, 3
2025/10/27, 1, 7, 35, 2, 1, 2
2025/10/28, 8, 7, 31, 4, 1, 3
2025/10/29, 31, 10, 36, 4, 1, 3
2025/10/30, 37, 7, 32, 5, 1, 3
2025/10/31, 27, 5, 36, 4, 1, 3
2025/7/1, 52, 26, 38, 2, , 2
2025/7/2, 49, 26, 34, 1, 1, 2
2025/7/3, 52, 21, 31, 1, 1, 2
