date, pm25, pm10, o3, no2, so2, co
2025/11/1, 27, 11, 30, 8, 2, 4
2025/11/2, 38, 5, 28, 4, 1, 3
2025/11/3, 24, 5, 23, 7, 1, 3
2025/11/4, 16, 7, 18, 10, 1, 3
2025/11/5, 21, 8, 24, 9, 1, 3
2025/11/6, 26, 9, 32, 5, 1, 
2025/11/7, 31, 10, 32, 4, 1, 3
2025/11/8, 41, 10, 26, 3, 1, 3
2025/11/9, 33, 11, 31, 6, 1, 
2025/11/10, 30, 9, 22, 9, 1, 2
2025/11/11, 29, 8, 20, 8, 1, 3
2025/11/12, 29, 12, 16, 16, 4, 3
2025/11/13, 41, 15, 39, 11, 1, 3
2025/11/14, 47, 11, 31, 8, 1, 3
2025/11/15, 43, , , , , 
2025/10/1, 26, 12, 37, 12, 1, 3
2025/10/2, 40, 9, 36, 4, 1, 2
2025/10/3, 27, 8, 29, 2, , 2
2025/10/4, 25, 8, 37, 1, , 2
2025/10/5, 17, 10, 37, 6, 1, 3
2025/10/6, 22, 11, 32, 4, 1, 3
2025/10/7, 31, 14, 36, 8, 1, 3
2025/10/8, 40, 13, 35, 7, 2, 3
2025/10/9, 36, 13, 29, 4, 1, 3
2025/10/10, 33, 8, 25, 2, , 3
2025/10/11, 21, 11, 25, 6, 1, 4
2025/10/12, 30, 12, 26, 9, 3, 3
2025/10/13, 32, 12, 24, 4, 1, 3
2025/10/14, 27, 6, 24, 3, , 3
2025/10/15, 15, 8, 26, 5, , 3
2025/10/16, 15, 8, 37, 4, 1, 2
2025/10/17, 19, 9, 31, 2, 1, 2
2025/10/18, 20, 8, 24, 4, 1, 3
2025/10/19, 21, 8, 28, 7, 1, 2
2025/10/20, 22, 6, 21, 5, , 2
2025/10/21, 17, 6, 16, 5, , 2
2025/10/22, 11, 6, 19, 6, 1, 3
2025/10/23, 17, 7, 18, 5, 1, 3
2025/10/24, 14, 8, 14, 3, 1, 3
2025/10/25, 1, 9, 20, 4, 1, 3
2025/10/26, 1, 9, 36, 5, 1, 3
2025/10/27, 1, 8, 29, 4, 1, 2
2025/10/28, 6, 9, 23, 11, 2, 2
2025/10/29, 30, 12, 27, 12, 2, 3
2025/10/30, 43, 8, 27, 7, 1, 3
2025/10/31, 23, 7, 31, 6, 1, 3
2025/7/1, 51, 15, 41, 3, 1, 2
2025/7/2, 46, 24, 33, 2, 1, 2
2025/7/3, 55, 14, 30, 2, , 2
2025/7/4, 38, 41, 62, 4, 2, 3
2025/7/5, 101, 36, 55, 4, 2, 2
2025/7/6, 83, 53, 48, 3, 1, 3
2025/7/7, 111, 48, 29, 3, 1, 3
2025/7/8, 103, 46, 15, 1, 1, 2
2025/7/9, 96, 15, 16, 3, 1, 2
2025/7/10, 29, 12, 34, 2, 1, 2
2025/7/11, 22, 13, 31, 3, 1, 2
2025/7/12, 32, 13, 29, 1, 1, 2
2025/7/13, 32, 13, 22, 1, , 2
2025/7/14, 14, 21, 28, 1, , 2
2025/7/15, 33, 24, 18, 2, , 2
2025/7/16, 40, 26, 11, 1, , 1
2025/7/17, 35, 16, 7, 1, , 2
2025/7/18, 26, 9, 16, 1, , 1
2025/7/19, 17, 11, 13, 1, 1, 1
2025/7/20, 18, 11, 14, 1, , 2
2025/7/21, 17, 11, 17, 2, 1, 
2025/7/22, 15, 10, 18, 3, 1, 2
2025/7/23, 15, 10, 25, 2, 1, 2
2025/7/24, 18, 8, 14, 2, 1, 2
2025/7/25, 13, 12, 14, 2, , 1
2025/7/26, 19, 10, 13, 1, 1, 1
2025/7/27, 14, 12, 24, 3, 1, 2
2025/7/28, 19, 15, 34, 3, 1, 2
2025/7/29, 28, 18, 43, 3, 1, 2
2025/7/30, 33, 17, 31, 4, 1, 2
2025/7/31, 41, 24, 80, 5, 1, 2
2025/8/1, 54, 23, 46, 5, 1, 2
2025/8/2, 55, 25, 54, 3, 1, 2
2025/8/3, 56, 43, 28, 2, 3, 2
2025/8/4, 82, 23, 30, 5, 1, 
2025/8/5, 51, 29, 47, 5, 1, 2
2025/8/6, 55, 23, 45, 6, 1, 2
2025/8/7, 55, 16, 46, 6, , 2
2025/8/8, 38, 18, 49, 4, , 2
2025/8/9, 44, 24, 24, 1, , 1
2025/8/10, 32, 25, 10, 1, , 2
2025/8/11, 31, 21, 15, 2, , 2
2025/8/12, 36, 17, 38, 5, 1, 2
2025/8/13, 38, 9, 40, 1, 1, 2
2025/8/14, 20, 17, 51, 4, 1, 2
2025/8/15, 38, 18, 31, 2, , 2
2025/8/16, 41, 17, 34, 3, 1, 2
2025/8/17, 37, 18, 46, 6, 1, 2
2025/8/18, 38, 15, 50, 3, 1, 2
2025/8/19, 36, 13, 55, 6, 1, 2
2025/8/20, 18, 16, 47, 8, 2, 2
2025/8/21, 43, 12, 39, 5, 1, 2
2025/8/22, 38, 19, 20, 2, 1, 2
2025/8/23, 37, 35, 29, 1, , 2
2025/8/24, 71, 35, 31, 2, 1, 2
2025/8/25, 70, 24, 21, 2, 1, 2
2025/8/26, 53, 19, 34, 5, 1, 2
2025/8/27, 46, 19, 46, 5, 1, 2
2025/8/28, 48, 23, 42, 4, 1, 2
2025/8/29, 50, 26, 61, 6, 1, 2
2025/8/30, 66, 23, 73, 4, 1, 3
2025/8/31, 60, 14, 27, 2, 1, 2
2025/9/1, 30, 8, 23, 3, 1, 3
2025/9/2, 15, 12, 41, 7, 1, 2
2025/9/3, 25, 5, 14, 4, 1, 2
2025/9/4, 9, 14, 15, 3, 1, 
2025/9/5, 15, 10, 34, 2, 1, 
2025/9/6, 23, 12, 39, 2, 1, 2
2025/9/7, 32, 21, 57, 8, 1, 3
2025/9/8, 53, 23, 52, 8, 1, 2
2025/9/9, 53, 23, 21, 2, 1, 2
2025/9/10, 43, 9, 33, 8, 1, 2
2025/9/11, 18, 11, 34, 3, 1, 2
2025/9/12, 22, 14, 20, 1, , 2
2025/9/13, 15, 23, 17, 4, 1, 2
2025/9/14, 39, 26, 46, 5, 1, 3
2025/9/15, 55, 31, 50, 7, 1, 3
2025/9/16, 60, 35, 23, 2, 1, 2
2025/9/17, 71, 24, 38, 7, 1, 2
2025/9/18, 55, 7, 35, 3, 1, 2
2025/9/19, 18, 10, 31, 1, , 2
2025/9/20, 25, 9, 29, 8, 3, 2
2025/9/21, 20, 8, 38, 3, 1, 3
2025/9/22, 22, 9, 35, 2, 1, 2
2025/9/23, 25, 9, 38, 2, 1, 2
2025/9/24, 25, 12, 35, 9, 1, 2
2025/9/25, 32, 13, 34, 11, 2, 3
2025/9/26, 38, 11, 41, 5, 1, 2
2025/9/27, 33, 11, 33, 2, 1, 2
2025/9/28, 28, 11, 35, 8, 1, 3
2025/9/29, 23, 8, 41, 7, 1, 3
2025/9/30, 23, 9, 38, 7, 1, 2
2025/4/1, 31, 8, 30, 14, 1, 3
2025/4/2, 34, 6, 34, 10, 1, 
2025/4/3, 26, 4, 36, 5, 1, 2
2025/4/4, 17, 8, 25, 7, 1, 3
2025/4/5, 29, 8, 41, 2, , 
2025/4/6, 30, 12, 47, 5, 1, 3
2025/4/7, 46, 15, 52, 12, 3, 3
2025/4/8, 53, 16, 44, 10, 2, 3
2025/4/9, 55, 18, 52, 4, 1, 3
2025/4/10, 53, 15, 42, 11, 1, 3
2025/4/11, 49, 16, 55, 5, 1, 3
2025/4/12, 56, 11, 48, 2, , 2
2025/4/13, 25, 12, 46, 5, 1, 3
2025/4/14, 39, 9, 39, 6, 1, 3
2025/4/15, 25, 9, 46, 7, 1, 3
2025/4/16, 38, 16, 61, 12, 2, 3
2025/4/17, 54, 22, 48, 8, 1, 3
2025/4/18, 62, 25, 50, 7, 2, 3
2025/4/19, 69, 17, 35, 5, 1, 2
2025/4/20, 51, 11, 46, 6, 1, 3
2025/4/21, 39, 12, 42, 2, 1, 3
2025/4/22, 35, 11, 39, 6, 1, 3
2025/4/23, 32, 6, 44, 8, 1, 3
2025/4/24, 23, 17, 48, 10, 1, 3
2025/4/25, 53, 19, 54, 4, 1, 
2025/4/26, 66, 17, 65, 5, 4, 3
2025/4/27, 59, 14, 46, 5, 1, 3
2025/4/28, 46, 16, 47, 6, 1, 3
2025/4/29, 55, 23, 49, 6, 1, 3
2025/4/30, 74, 13, 50, 3, 1, 3
2025/5/1, 47, 7, 46, 1, 1, 2
2025/5/2, 23, 11, 51, 5, 1, 3
2025/5/3, 39, 11, 50, 2, 1, 
2025/5/4, 39, 10, 50, 3, 3, 3
2025/5/5, 43, 8, 41, 3, 1, 4
2025/5/6, 29, 7, 42, 5, 1, 3
2025/5/7, 22, 9, 44, 6, 1, 2
2025/5/8, 28, 10, 40, 1, , 2
2025/5/9, 24, 7, 36, 3, , 2
2025/5/10, 15, 9, 45, 5, 2, 4
2025/5/11, 31, 13, 46, 9, 1, 3
2025/5/12, 40, 18, 57, 7, 1, 3
2025/5/13, 62, 20, 59, 8, 2, 3
2025/5/14, 65, 15, 51, 5, 1, 3
2025/5/15, 54, 14, 43, 5, 1, 3
2025/5/16, 52, 17, 27, 1, , 2
2025/5/17, 26, 21, 27, 5, 1, 2
2025/5/18, 48, 23, 44, 10, 1, 3
2025/5/19, 61, 22, 54, 6, 2, 3
2025/5/20, 59, 19, 29, 6, 1, 3
2025/5/21, 46, 7, 30, 5, 1, 2
2025/5/22, 23, 13, 41, 3, 1, 2
2025/5/23, 39, 12, 38, 2, 1, 2
2025/5/24, 38, 10, 33, 6, 1, 2
2025/5/25, 18, 8, 35, 7, 1, 3
2025/5/26, 23, 10, 34, 7, 1, 3
2025/5/27, 28, 10, 49, 7, 2, 3
2025/5/28, 37, 11, 44, 5, 1, 3
2025/5/29, 35, 9, 45, 5, 1, 3
2025/5/30, 30, 11, 44, 6, 2, 2
2025/5/31, 39, 7, 42, 4, 1, 2
2025/6/1, 28, 13, 42, 5, 1, 3
2025/6/2, 47, 11, 44, 5, 1, 3
2025/6/3, 35, 11, 50, 11, 1, 
2025/6/4, 38, 17, 62, 10, 2, 3
2025/6/5, 57, 16, 56, 5, 1, 3
2025/6/6, 52, 19, 45, 3, 1, 3
2025/6/7, 59, 24, 49, 6, 1, 3
2025/6/8, 69, 12, 42, 3, , 3
2025/6/9, 32, 11, 32, 3, , 3
2025/6/10, 14, 10, 31, 11, 1, 3
2025/6/11, 22, 17, 40, 11, 1, 3
2025/6/12, 55, 15, 45, 6, 1, 3
2025/6/13, 42, 13, 32, 1, , 2
2025/6/14, 24, 13, 24, 8, 2, 2
2025/6/15, 24, 18, 43, 8, 1, 2
2025/6/16, 39, 21, 35, 7, 3, 2
2025/6/17, 54, 21, 53, 10, 3, 3
2025/6/18, 60, 20, 49, 5, 2, 3
2025/6/19, 60, 13, 36, 2, 1, 2
2025/6/20, 41, 7, 24, 1, 1, 2
2025/6/21, 19, 11, 21, 1, 1, 2
2025/6/22, 30, 10, 20, 1, , 2
2025/6/23, 24, 9, 14, 2, , 2
2025/6/24, 19, 10, 15, 2, 1, 2
2025/6/25, 22, 9, 20, 6, , 2
2025/6/26, 22, 15, 54, 8, 1, 3
2025/6/27, 46, 15, 51, 3, 1, 3
2025/6/28, 53, 15, 46, 4, 1, 2
2025/6/29, 49, 15, 39, 4, 1, 3
2025/6/30, 48, 16, 46, 3, 1, 2
2025/1/1, 29, 8, 32, 5, 1, 3
2025/1/2, 30, 4, 34, 2, 1, 3
2025/1/3, 17, 3, 30, 2, 1, 3
2025/1/4, 14, 6, 30, 9, 1, 3
2025/1/5, 27, 8, 14, 18, 1, 4
2025/1/6, 33, 15, 28, 8, 1, 4
2025/1/7, 52, 9, 24, 8, 1, 3
2025/1/8, 37, 8, 27, 9, 1, 3
2025/1/9, 34, 7, 24, 9, 2, 3
2025/1/10, 29, 4, 27, 7, 1, 3
2025/1/11, 20, 4, 26, 4, 1, 3
2025/1/12, 17, 7, 28, 9, 1, 3
2025/1/13, 33, 13, 28, 16, 2, 4
2025/1/14, 53, 15, 29, 15, 1, 4
2025/1/15, 52, 5, 21, 11, 2, 3
2025/1/16, 23, 6, 30, 7, 1, 4
2025/1/17, 26, 7, 27, 11, 3, 4
2025/1/18, 32, 9, 18, 10, 1, 3
2025/1/19, 40, 10, 22, 13, 1, 3
2025/1/20, 40, 10, 33, 14, 1, 3
2025/1/21, 39, 9, 33, 12, 1, 3
2025/1/22, 39, 19, 25, 26, 3, 4
2025/1/23, 72, 19, 32, 19, 2, 4
2025/1/24, 69, 6, 34, 4, 1, 3
2025/1/25, 24, 3, 30, 5, 4, 4
2025/1/26, 12, 3, 26, 9, 1, 3
2025/1/27, 15, 13, 29, 14, 1, 3
2025/1/28, 45, 8, 29, 7, 1, 3
2025/1/29, 34, 9, 33, 5, 1, 3
2025/1/30, 35, 15, 31, 9, 1, 4
2025/1/31, 58, 25, 31, 16, 2, 4
2025/2/1, 84, 10, 22, 7, 1, 3
2025/2/2, 43, 9, 33, 10, 1, 3
2025/2/3, 44, 10, 30, 7, 1, 3
2025/2/4, 40, 8, 31, 5, 1, 
2025/2/5, 32, 11, 29, 6, 2, 3
2025/2/6, 48, 11, 30, 7, 1, 3
2025/2/7, 49, 9, 28, 7, 1, 3
2025/2/8, 35, 8, 29, 8, 2, 3
2025/2/9, 33, 5, 30, 8, 1, 3
2025/2/10, 26, 4, 32, 6, 1, 3
2025/2/11, 19, 7, 22, 16, 1, 3
2025/2/12, 32, 8, 31, 9, 1, 3
2025/2/13, 35, 6, 31, 8, 2, 3
2025/2/14, 30, 10, 31, 8, 1, 3
2025/2/15, 43, 12, 29, 9, 1, 3
2025/2/16, 45, 10, 35, 8, 1, 3
2025/2/17, 40, 5, 29, 7, 1, 3
2025/2/18, 20, 4, 31, 6, 1, 3
2025/2/19, 11, 4, 29, 8, 2, 3
2025/2/20, 21, 5, 30, 10, 1, 3
2025/2/21, 24, 7, 33, 7, 2, 3
2025/2/22, 29, 6, 32, 5, 1, 3
2025/2/23, 28, 4, 34, 4, 1, 
2025/2/24, 20, 8, 34, 11, 1, 3
2025/2/25, 35, 11, 38, 12, 1, 3
2025/2/26, 50, 16, 42, 13, 1, 3
2025/2/27, 64, 26, 14, 34, 3, 4
2025/2/28, 88, 19, 41, 16, 2, 4
2025/3/1, 68, 21, 24, 16, 5, 4
2025/3/2, 74, 16, 22, 18, 1, 3
2025/3/3, 50, 4, 35, 4, , 3
2025/3/4, 28, 5, 28, 13, 1, 3
2025/3/5, 18, 2, 35, 4, 1, 2
2025/3/6, 11, 4, 36, 3, 1, 
2025/3/7, 16, 8, 31, 6, 1, 3
2025/3/8, 41, 8, 35, 7, 2, 3
2025/3/9, 36, 8, 42, 7, 1, 3
2025/3/10, 28, 7, 35, 4, , 3
2025/3/11, 25, 11, 34, 16, 1, 3
2025/3/12, 45, 20, 33, 15, 2, 3
2025/3/13, 64, 12, 31, 11, 1, 3
2025/3/14, 50, 9, 27, 10, 3, 2
2025/3/15, 35, 6, 37, 7, 1, 2
2025/3/16, 28, 7, 33, 6, 1, 3
2025/3/17, 24, 6, 37, 6, 1, 3
2025/3/18, 26, 7, 37, 6, 1, 3
2025/3/19, 28, 10, 39, 10, 1, 4
2025/3/20, 48, 19, 52, 16, 1, 3
2025/3/21, 73, 24, 63, 15, 3, 4
2025/3/22, 80, 25, 61, 13, 5, 4
2025/3/23, 78, 25, 54, 10, 1, 4
2025/3/24, 72, 23, 52, 10, 2, 3
2025/3/25, 68, 46, 59, 10, 1, 4
2025/3/26, 120, 36, 44, 9, 1, 3
2025/3/27, 89, 15, 41, 6, 1, 3
2025/3/28, 34, 9, 35, 6, 1, 
2025/3/29, 37, 7, 39, 3, 1, 3
2025/3/30, 21, 6, 31, 8, 1, 3
2025/3/31, 26, 7, 19, 12, 1, 3
2024/10/1, 55, 18, 50, 10, 3, 2
2024/10/2, 57, 23, 27, 5, , 1
2024/10/3, 41, 11, 17, 6, 1, 1
2024/10/4, 14, 12, 10, 12, 1, 1
2024/10/5, 22, 8, 28, 2, 1, 1
2024/10/6, 17, 9, 23, 3, , 1
2024/10/7, 18, 6, 26, 8, 1, 
2024/10/8, 12, 6, 26, 8, 1, 1
2024/10/9, 15, 8, 30, 9, 1, 1
2024/10/10, 23, 11, 36, 9, 1, 1
2024/10/11, 34, 16, 40, 4, 1, 1
2024/10/12, 42, 12, 41, 3, 1, 1
2024/10/13, 39, 11, 36, 3, 1, 1
2024/10/14, 34, 10, 40, 2, , 1
2024/10/15, 24, 16, 24, 12, 1, 2
2024/10/16, 32, 18, 38, 7, 1, 1
2024/10/17, 41, 13, 30, 4, 1, 1
2024/10/18, 30, 9, 26, 4, 1, 1
2024/10/19, 15, 5, 27, 1, , 2
2024/10/20, 12, 6, 35, 2, , 1
2024/10/21, 18, 7, 31, 4, 1, 1
2024/10/22, 19, 15, 26, 4, , 1
2024/10/23, 19, 12, 30, 10, 1, 2
2024/10/24, 32, 14, 24, 11, 1, 2
2024/10/25, 40, , , , , 2
2024/10/28, 12, 7, 17, 9, , 2
2024/10/29, 16, 5, 32, 7, 1, 1
2024/10/30, 13, 8, 31, 9, 1, 2
2024/10/31, 24, 12, 33, 5, 1, 1
2024/11/1, 32, 9, 29, 4, 1, 1
2024/11/2, 11, 9, 31, 3, 1, 2
2024/11/3, 32, 10, 34, 5, 1, 1
2024/11/4, 31, 14, 13, 10, 1, 2
2024/11/5, 39, 10, 28, 9, 2, 2
2024/11/6, 31, 4, 30, 4, 1, 1
2024/11/7, 14, 9, 22, 11, 1, 2
2024/11/8, 31, 9, 31, 6, 2, 1
2024/11/9, 33, 7, 31, 3, 2, 1
2024/11/10, 22, 11, 27, 12, 1, 1
2024/11/11, 35, 15, 29, 15, 2, 1
2024/11/12, 47, 11, 30, 10, 1, 2
2024/11/13, 39, 17, 14, 14, 1, 2
2024/11/14, 53, 17, 11, 19, 2, 2
2024/11/15, 50, 12, 25, 4, 1, 1
2024/11/16, 38, 13, 26, 7, 2, 1
2024/11/17, 42, 3, 29, 2, 1, 1
2024/11/18, 16, 5, 29, 9, 1, 2
2024/11/19, 20, 9, 12, 11, 1, 2
2024/11/20, 31, 8, 29, 8, 1, 1
2024/11/21, 26, 10, 34, 9, 1, 1
2024/11/22, 39, 4, 27, 2, , 
2024/11/23, 11, 4, 28, 3, 1, 
2024/11/24, 12, 6, 27, 11, 1, 2
2024/11/25, 27, 8, 32, 3, , 1
2024/11/26, 18, 10, 27, 11, 2, 1
2024/11/27, 30, 11, 28, 7, 2, 1
2024/11/28, 37, 8, 23, 9, 1, 1
2024/11/29, 27, 10, 25, 5, 2, 1
2024/11/30, 35, 9, 24, 6, 2, 1
2024/12/1, 29, 11, 21, 17, 2, 2
2024/12/2, 41, 17, 22, 20, 2, 1
2024/12/3, 56, 12, 28, 9, 1, 1
2024/12/4, 38, 10, 28, 9, 2, 1
2024/12/5, 35, 9, 26, 8, 2, 1
2024/12/6, 32, 9, 27, 6, 3, 1
2024/12/7, 32, 6, 29, 3, 2, 1
2024/12/8, 25, 4, 27, 5, 1, 2
2024/12/9, 15, 5, 24, 11, 2, 2
2024/12/10, 21, 6, 24, 10, 1, 3
2024/12/11, 23, 5, 27, 6, 1, 
2024/12/12, 15, 9, 15, 20, 2, 4
2024/12/13, 37, 7, 31, 7, 1, 3
2024/12/14, 26, 11, 28, 7, 1, 3
2024/12/15, 35, 9, 25, 11, 1, 3
2024/12/16, 29, 9, 25, 13, 2, 3
2024/12/17, 34, 8, 27, 12, 3, 3
2024/12/18, 30, 5, 30, 9, , 3
2024/12/19, 25, 7, 24, 13, 1, 3
2024/12/20, 28, 11, 31, 16, 2, 4
2024/12/21, 42, 6, 27, 6, 2, 4
2024/12/22, 22, 5, 27, 9, 1, 3
2024/12/23, 18, 5, 26, 8, 2, 3
2024/12/24, 14, 8, 25, 16, 1, 4
2024/12/25, 34, 12, 23, 17, 2, 3
2024/12/26, 48, 11, 30, 7, 1, 3
2024/12/27, 44, 5, 30, 3, 1, 
2024/12/28, 21, 5, 29, 2, 1, 3
2024/12/29, 23, , , , , 
2024/7/1, 19, 15, 33, 11, 1, 2
2024/7/2, 29, 29, 41, 11, 1, 2
2024/7/3, 58, 24, 40, 9, 1, 2
2024/7/4, 55, 11, 19, 17, 3, 1
2024/7/5, 40, 25, 62, 9, 1, 1
2024/7/6, 59, 26, 49, 5, 2, 1
2024/7/7, 56, 22, 42, 8, 2, 1
2024/7/8, 52, 22, 36, 8, 1, 1
2024/7/9, 48, 19, 25, 5, 1, 1
2024/7/10, 31, 18, 23, 7, 1, 1
2024/7/11, 27, 12, 30, 8, , 2
2024/7/12, 22, 11, 43, 4, 1, 1
2024/7/13, 23, 15, 37, 1, , 1
2024/7/14, 23, 15, 22, 4, , 1
2024/7/15, 30, 15, 17, 2, , 1
2024/7/16, 18, 15, 43, 8, 1, 1
2024/7/17, 31, 16, 31, 5, , 1
2024/7/18, 29, 17, 17, 1, , 1
2024/7/19, 27, 20, 36, 3, 1, 1
2024/7/20, 40, 24, 45, 3, 1, 1
2024/7/21, 51, 27, 52, 7, 1, 1
2024/7/22, 62, 20, 38, 7, 1, 1
2024/7/23, 46, 19, 40, 8, , 2
2024/7/24, 37, 16, 30, 7, 1, 1
2024/7/25, 37, 15, 29, 6, 1, 1
2024/7/26, 30, 18, 44, 5, 1, 1
2024/7/27, 33, 13, 25, 6, 2, 
2024/7/28, 42, 9, 27, 4, 2, 1
2024/7/29, 29, 13, 35, 4, 1, 1
2024/7/30, 30, 14, 45, 7, 1, 2
2024/7/31, 43, 19, 61, 7, , 1
2024/8/1, 43, 17, 48, 3, 1, 1
2024/8/2, 41, 18, 40, 2, , 1
2024/8/3, 38, 20, 43, 2, 1, 1
2024/8/4, 47, 20, 42, 3, , 1
2024/8/5, 42, 15, 34, 4, , 1
2024/8/6, 35, 20, 69, 5, 1, 1
2024/8/7, 47, 22, 55, 5, , 1
2024/8/8, 50, 23, 80, 6, 1, 1
2024/8/9, 54, 16, 49, 4, 1, 1
2024/8/10, 41, 15, 43, 4, 1, 1
2024/8/11, 41, 20, 43, 3, 1, 1
2024/8/12, 46, 15, 39, 1, , 1
2024/8/13, 38, 16, 35, 2, 1, 1
2024/8/14, 37, 14, 28, 1, 1, 1
2024/8/15, 34, 17, 32, 4, 1, 1
2024/8/16, 41, 13, 32, 4, 2, 
2024/8/17, 34, 14, 37, 2, 1, 1
2024/8/18, 33, 22, 36, 4, 1, 1
2024/8/19, 39, 15, 31, 7, 1, 1
2024/8/20, 26, 13, 50, 7, 1, 1
2024/8/21, 34, 11, 32, 3, 1, 1
2024/8/23, 30, 11, 23, 2, 1, 
2024/8/24, 20, 8, 24, 1, 1, 1
2024/8/25, 17, 7, 15, 1, 1, 1
2024/8/26, 13, 6, 15, 2, 1, 
2024/8/27, 6, 7, 14, 3, 1, 1
2024/8/28, 7, 4, 11, 1, , 1
2024/8/29, 6, 11, 16, 2, , 1
2024/8/30, 15, 16, 21, 1, , 1
2024/8/31, 19, 9, 28, 1, , 1
2024/9/1, 12, 15, 27, 2, , 1
2024/9/2, 21, 17, 42, 7, 1, 1
2024/9/3, 37, 17, 43, 4, 1, 1
2024/9/4, 38, 19, 64, 5, 1, 1
2024/9/5, 44, 21, 68, 7, 1, 2
2024/9/6, 46, 22, 64, 5, 1, 1
2024/9/7, 52, 22, 55, 3, 1, 1
2024/9/8, 47, 10, 23, 5, , 1
2024/9/9, 21, 6, 11, 2, , 1
2024/9/10, 11, 8, 14, 2, 1, 1
2024/9/11, 14, 10, 28, 2, 1, 1
2024/9/12, 21, 6, 14, 2, 1, 1
2024/9/13, 10, 7, 12, 2, , 1
2024/9/14, 14, 13, 10, 1, , 1
2024/9/15, 19, 14, 19, 2, 1, 1
2024/9/16, 22, 19, 25, 4, 1, 1
2024/9/17, 25, 18, 29, 5, 1, 1
2024/9/18, 25, 21, 41, 8, 1, 1
2024/9/19, 40, 21, 29, 5, 1, 1
2024/9/20, 33, 19, 17, 2, , 1
2024/9/21, 25, 15, 24, 2, 1, 1
2024/9/22, 22, 11, 34, 2, 1, 1
2024/9/23, 19, 12, 35, 2, 1, 1
2024/9/24, 21, 17, 51, 8, 2, 2
2024/9/25, 38, 13, 41, 6, 1, 1
2024/9/26, 28, 15, 27, 6, 1, 1
2024/9/27, 24, 16, 19, 7, , 1
